date,product_id,site_id,quantity_sold,revenue,cost,profit,top_category,sub_category,brand
2024-10-02,Samsung Choice Laptops,LOC001,4,1931.16,1201.42,729.74,Electronics,Laptops,Samsung
2024-10-02,PepsiCo Once Confectionery,LOC001,4,1102.508,694.672,407.836,Food & Beverages,Confectionery,PepsiCo
2024-10-02,Samsung From Gaming,LOC017,2,863.5000000000001,432.47600000000006,431.02400000000006,Electronics,Gaming,Samsung
2024-10-02,Sony Mention Laptops,LOC017,5,4019.455,2611.29,1408.165,Electronics,Laptops,Sony
2024-10-02,HP Focus Home Appliances,LOC017,5,2455.9700000000007,1270.9400000000003,1185.0300000000004,Electronics,Home Appliances,HP
2024-10-02,Samsung Traditional Audio Devices,LOC017,1,464.508,249.65600000000003,214.85199999999995,Electronics,Audio Devices,Samsung
2024-10-02,IKEA How Bedding,LOC017,3,2461.404,1516.4160000000002,944.9879999999998,Home & Living,Bedding,IKEA
2024-10-02,Sony Mention Laptops,LOC017,1,803.891,522.258,281.6329999999999,Electronics,Laptops,Sony
2024-10-02,Nivea Least Haircare,LOC017,1,86.581,48.279,38.302,Beauty & Personal Care,Haircare,Nivea
2024-10-02,Samsung From Gaming,LOC017,5,2158.75,1081.1900000000003,1077.5599999999997,Electronics,Gaming,Samsung
2024-10-02,MAC Activity Makeup,LOC017,1,650.958,447.579,203.37899999999996,Beauty & Personal Care,Makeup,MAC
2024-10-02,Apple Today Gaming,LOC017,1,248.567,147.466,101.101,Electronics,Gaming,Apple
2024-10-02,Samsung Interesting Smartphones,LOC017,3,469.95300000000003,190.674,279.279,Electronics,Smartphones,Samsung
2024-10-02,Sony Certainly Audio Devices,LOC017,1,523.3910000000001,267.11300000000006,256.278,Electronics,Audio Devices,Sony
2024-10-02,Gap Already Men's Clothing,LOC005,1,639.9933861514824,333.47600000000006,306.5173861514823,Apparel,Men's Clothing,Gap
2024-10-02,H&M Test Kids' Clothing,LOC005,3,195.36000000000004,92.763,102.59700000000004,Apparel,Kids' Clothing,H&M
2024-10-02,Kellogg's Partner Confectionery,LOC005,2,935.1320000000001,558.58,376.552,Food & Beverages,Confectionery,Kellogg's
2024-10-02,Dove Feel Skincare,LOC005,3,1181.7754962341369,801.768,380.00749623413685,Beauty & Personal Care,Skincare,Dove
2024-10-02,PepsiCo Truth Groceries,LOC005,4,4362.468000000001,2841.52,1520.9480000000008,Food & Beverages,Groceries,PepsiCo
2024-10-02,Samsung Interesting Smartphones,LOC005,3,469.95300000000003,190.674,279.279,Electronics,Smartphones,Samsung
2024-10-02,Wayfair Player Furniture,LOC001,1,965.294,518.6170000000001,446.6769999999999,Home & Living,Furniture,Wayfair
2024-10-02,Nivea Billion Haircare,LOC001,3,2764.8720000000003,1696.1010000000003,1068.771,Beauty & Personal Care,Haircare,Nivea
2024-10-02,Samsung Choice Laptops,LOC001,3,1448.37,901.0650000000002,547.3049999999997,Electronics,Laptops,Samsung
2024-10-02,Maybelline Ahead Personal Hygiene,LOC001,1,883.311,613.0960000000001,270.2149999999999,Beauty & Personal Care,Personal Hygiene,Maybelline
2024-10-02,PepsiCo Tax Health Foods,LOC001,1,638.2310000000001,438.064,200.1670000000001,Food & Beverages,Health Foods,PepsiCo
2024-10-02,Nestle Eight Confectionery,LOC001,4,714.8240000000001,346.98400000000004,367.84000000000003,Food & Beverages,Confectionery,Nestle
2024-10-02,Coca-Cola Sense Confectionery,LOC001,4,2123.748,1046.2320000000002,1077.5159999999998,Food & Beverages,Confectionery,Coca-Cola
2024-10-02,Levi's Play Footwear,LOC001,1,637.626,301.68600000000004,335.93999999999994,Apparel,Footwear,Levi's
2024-10-02,Dove Feel Skincare,LOC014,5,2188.7250000000004,1336.28,852.4450000000004,Beauty & Personal Care,Skincare,Dove
2024-10-02,IKEA Beautiful Storage,LOC014,4,747.0756489583209,577.7200000000001,169.35564895832078,Home & Living,Storage,IKEA
2024-10-02,Maybelline Media Fragrances,LOC014,1,1020.1070000000001,641.2340000000002,378.87299999999993,Beauty & Personal Care,Fragrances,Maybelline
2024-10-02,Levi's Middle Kids' Clothing,LOC014,1,583.9784778719813,509.9600000000001,74.01847787198125,Apparel,Kids' Clothing,Levi's
2024-10-02,Nivea Billion Haircare,LOC014,4,3686.4960000000005,2261.4680000000003,1425.0280000000002,Beauty & Personal Care,Haircare,Nivea
2024-10-02,Kraft Environment Snacks,LOC014,3,1795.563,808.1700000000001,987.393,Food & Beverages,Snacks,Kraft
2024-10-02,L'Oreal Public Haircare,LOC014,3,2196.15,1140.1170000000002,1056.033,Beauty & Personal Care,Haircare,L'Oreal
2024-10-02,Crate & Barrel Course Storage,LOC014,3,3001.6140000000005,1889.7120000000002,1111.9020000000003,Home & Living,Storage,Crate & Barrel
2024-10-02,Wayfair One Decor,LOC014,5,1126.6200000000001,783.5300000000001,343.09000000000003,Home & Living,Decor,Wayfair
2024-10-02,IKEA Congress Storage,LOC004,2,996.6880000000001,694.408,302.2800000000001,Home & Living,Storage,IKEA
2024-10-02,Kellogg's Partner Confectionery,LOC004,4,1870.2640000000001,1117.16,753.104,Food & Beverages,Confectionery,Kellogg's
2024-10-02,HP Be Gaming,LOC004,2,496.27600000000007,295.46000000000004,200.81600000000003,Electronics,Gaming,HP
2024-10-02,Apple Today Gaming,LOC004,1,248.567,147.466,101.101,Electronics,Gaming,Apple
2024-10-02,Kraft Environment Snacks,LOC004,3,1795.563,808.1700000000001,987.393,Food & Beverages,Snacks,Kraft
2024-10-02,Wayfair Whom Bedding,LOC004,5,2605.6800000000003,1316.26,1289.4200000000003,Home & Living,Bedding,Wayfair
2024-10-02,Kellogg's Partner Confectionery,LOC004,4,1870.2640000000001,1117.16,753.104,Food & Beverages,Confectionery,Kellogg's
2024-10-02,Maybelline Draw Fragrances,LOC004,2,1835.2620000000002,1081.3000000000002,753.962,Beauty & Personal Care,Fragrances,Maybelline
2024-10-02,IKEA Letter Decor,LOC018,1,786.0626332205103,636.0090000000001,150.05363322051016,Home & Living,Decor,IKEA
2024-10-02,Adidas No Kids' Clothing,LOC018,5,1368.18,609.2350000000001,758.9449999999999,Apparel,Kids' Clothing,Adidas
2024-10-02,Gap Month Footwear,LOC018,1,628.133,312.29,315.843,Apparel,Footwear,Gap
2024-10-02,Levi's Best Footwear,LOC018,3,2053.0620000000004,957.1320000000002,1095.9300000000003,Apparel,Footwear,Levi's
2024-10-02,Nivea Recognize Makeup,LOC018,3,3105.9930000000004,1806.4859999999999,1299.5070000000005,Beauty & Personal Care,Makeup,Nivea
2024-10-02,Tommy Hilfiger Alone Women's Clothing,LOC018,5,952.4900000000001,547.58,404.9100000000001,Apparel,Women's Clothing,Tommy Hilfiger
2024-10-02,Nivea Least Haircare,LOC018,5,432.905,241.395,191.50999999999996,Beauty & Personal Care,Haircare,Nivea
2024-10-02,H&M Trial Footwear,LOC018,4,1302.5760000000002,680.2840000000001,622.2920000000001,Apparel,Footwear,H&M
2024-10-02,PepsiCo Once Confectionery,LOC018,4,1102.508,694.672,407.836,Food & Beverages,Confectionery,PepsiCo
2024-10-02,Maybelline Hand Haircare,LOC018,3,972.2790000000001,433.55400000000003,538.7250000000001,Beauty & Personal Care,Haircare,Maybelline
2024-10-02,IKEA Miss Kitchen,LOC018,3,1271.754,805.7280000000001,466.02599999999984,Home & Living,Kitchen,IKEA
2024-10-03,Kellogg's Partner Confectionery,LOC007,1,467.56600000000003,279.29,188.276,Food & Beverages,Confectionery,Kellogg's
2024-10-03,Dove Feel Skincare,LOC007,4,1750.98,1069.0240000000001,681.9559999999999,Beauty & Personal Care,Skincare,Dove
2024-10-03,Levi's Play Footwear,LOC007,1,527.1013010625755,301.68600000000004,225.4153010625755,Apparel,Footwear,Levi's
2024-10-03,Kraft Environment Snacks,LOC007,2,1197.0420000000001,538.7800000000001,658.2620000000001,Food & Beverages,Snacks,Kraft
2024-10-03,Nivea Take Fragrances,LOC007,4,3131.5240000000003,2170.4320000000002,961.0920000000001,Beauty & Personal Care,Fragrances,Nivea
2024-10-03,Wayfair One Decor,LOC007,1,225.324,156.70600000000002,68.618,Home & Living,Decor,Wayfair
2024-10-03,HP Visit Gaming,LOC008,3,606.969,424.083,182.88600000000002,Electronics,Gaming,HP
2024-10-03,Maybelline Relationship Skincare,LOC008,4,4336.508000000001,2875.972,1460.5360000000005,Beauty & Personal Care,Skincare,Maybelline
2024-10-03,Wayfair Player Furniture,LOC008,2,1930.588,1037.2340000000002,893.3539999999998,Home & Living,Furniture,Wayfair
2024-10-03,HP Focus Home Appliances,LOC008,1,491.1940000000001,254.18800000000005,237.00600000000003,Electronics,Home Appliances,HP
2024-10-03,HomeDepot Detail Furniture,LOC008,1,80.322,36.99300000000001,43.32899999999999,Home & Living,Furniture,HomeDepot
2024-10-03,Nestle Across Health Foods,LOC008,4,2033.9,1344.596,689.3040000000001,Food & Beverages,Health Foods,Nestle
2024-10-03,Maybelline Relationship Skincare,LOC008,3,3252.3810000000003,2156.979,1095.4020000000005,Beauty & Personal Care,Skincare,Maybelline
2024-10-03,Dove When Makeup,LOC008,1,1044.1750000000002,592.933,451.2420000000002,Beauty & Personal Care,Makeup,Dove
2024-10-03,Coca-Cola Drug Snacks,LOC015,1,100.82600000000001,68.046,32.78,Food & Beverages,Snacks,Coca-Cola
2024-10-03,Samsung Traditional Audio Devices,LOC015,5,1975.1879257925177,1248.28,726.9079257925177,Electronics,Audio Devices,Samsung
2024-10-03,Dove Indicate Skincare,LOC015,2,290.53200000000004,149.97400000000002,140.55800000000002,Beauty & Personal Care,Skincare,Dove
2024-10-03,Nivea Yard Makeup,LOC015,2,1321.6060000000002,871.618,449.98800000000017,Beauty & Personal Care,Makeup,Nivea
2024-10-03,Maybelline Relationship Skincare,LOC015,4,4336.508000000001,2875.972,1460.5360000000005,Beauty & Personal Care,Skincare,Maybelline
2024-10-03,Wayfair Whom Bedding,LOC015,3,1563.4080000000001,789.7560000000001,773.652,Home & Living,Bedding,Wayfair
2024-10-03,Kraft Read Groceries,LOC015,1,287.95799999999997,179.26700000000002,108.69099999999995,Food & Beverages,Groceries,Kraft
2024-10-03,Dell Race Smartphones,LOC011,4,4084.2560000000003,1816.76,2267.496,Electronics,Smartphones,Dell
2024-10-03,Tommy Hilfiger Alone Women's Clothing,LOC011,4,761.9920000000001,438.064,323.92800000000005,Apparel,Women's Clothing,Tommy Hilfiger
2024-10-03,LG Environment Gaming,LOC019,2,117.19400000000002,81.29,35.90400000000001,Electronics,Gaming,LG
2024-10-03,Maybelline Relationship Skincare,LOC019,1,1084.1270000000002,718.993,365.1340000000001,Beauty & Personal Care,Skincare,Maybelline
2024-10-03,Crate & Barrel Goal Kitchen,LOC019,3,1568.3580000000002,921.7560000000001,646.6020000000001,Home & Living,Kitchen,Crate & Barrel
2024-10-03,Kellogg's Likely Confectionery,LOC019,4,519.596,293.70000000000005,225.89599999999996,Food & Beverages,Confectionery,Kellogg's
2024-10-03,Gap Already Men's Clothing,LOC019,4,2949.4080000000004,1333.9040000000002,1615.5040000000001,Apparel,Men's Clothing,Gap
2024-10-03,LG Commercial Gaming,LOC019,2,1156.034,564.8280000000001,591.206,Electronics,Gaming,LG
2024-10-03,H&M Trial Footwear,LOC019,5,1628.2200000000003,850.3550000000001,777.8650000000001,Apparel,Footwear,H&M
2024-10-03,H&M Hard Kids' Clothing,LOC005,2,1694.066,973.6320000000001,720.434,Apparel,Kids' Clothing,H&M
2024-10-03,Kraft Husband Health Foods,LOC005,2,1958.1980000000003,820.864,1137.3340000000003,Food & Beverages,Health Foods,Kraft
2024-10-03,Nivea Least Haircare,LOC005,3,259.743,144.83700000000002,114.90599999999998,Beauty & Personal Care,Haircare,Nivea
2024-10-03,Levi's Middle Kids' Clothing,LOC005,1,780.9340000000001,509.9600000000001,270.974,Apparel,Kids' Clothing,Levi's
2024-10-03,Wayfair Whom Bedding,LOC005,2,1042.2720000000002,526.504,515.7680000000001,Home & Living,Bedding,Wayfair
2024-10-03,LG Action Laptops,LOC005,2,444.53200000000004,208.84600000000003,235.686,Electronics,Laptops,LG
2024-10-03,Kraft Decision Beverages,LOC005,4,3575.0000000000005,2441.78,1133.2200000000003,Food & Beverages,Beverages,Kraft
2024-10-03,L'Oreal Measure Makeup,LOC008,3,2000.79,1373.6580000000001,627.1319999999998,Beauty & Personal Care,Makeup,L'Oreal
2024-10-03,PepsiCo Once Confectionery,LOC008,1,275.627,173.668,101.959,Food & Beverages,Confectionery,PepsiCo
2024-10-03,Sony Mention Laptops,LOC008,1,803.891,522.258,281.6329999999999,Electronics,Laptops,Sony
2024-10-03,Maybelline Relationship Skincare,LOC008,3,3252.3810000000003,2156.979,1095.4020000000005,Beauty & Personal Care,Skincare,Maybelline
2024-10-03,L'Oreal Measure Makeup,LOC008,3,2000.79,1373.6580000000001,627.1319999999998,Beauty & Personal Care,Makeup,L'Oreal
2024-10-03,MAC Activity Makeup,LOC008,3,1952.874,1342.737,610.137,Beauty & Personal Care,Makeup,MAC
2024-10-03,IKEA Beautiful Storage,LOC010,1,261.69000000000005,144.43000000000004,117.26000000000002,Home & Living,Storage,IKEA
2024-10-03,Dove Feel Skincare,LOC010,4,1750.98,1069.0240000000001,681.9559999999999,Beauty & Personal Care,Skincare,Dove
2024-10-03,Maybelline Relationship Skincare,LOC010,1,962.2842275698889,718.993,243.29122756988886,Beauty & Personal Care,Skincare,Maybelline
2024-10-03,Wayfair Player Furniture,LOC010,3,2895.882,1555.851,1340.031,Home & Living,Furniture,Wayfair
2024-10-03,Dove Realize Skincare,LOC010,4,4158.176,2227.588,1930.5880000000002,Beauty & Personal Care,Skincare,Dove
2024-10-03,LG Environment Gaming,LOC004,1,58.59700000000001,40.645,17.952000000000005,Electronics,Gaming,LG
2024-10-03,HomeDepot Lead Storage,LOC004,1,19.469027606317223,14.267000000000001,5.2020276063172215,Home & Living,Storage,HomeDepot
2024-10-03,Sony Mention Laptops,LOC004,3,2411.6730000000002,1566.7740000000001,844.8990000000001,Electronics,Laptops,Sony
2024-10-03,Apple Chair Smartphones,LOC004,1,17.105,9.801,7.304,Electronics,Smartphones,Apple
2024-10-03,L'Oreal Choice Personal Hygiene,LOC004,4,3509.3520000000003,1995.488,1513.8640000000003,Beauty & Personal Care,Personal Hygiene,L'Oreal
2024-10-03,Kraft Environment Snacks,LOC004,2,1061.4194845813568,538.7800000000001,522.6394845813567,Food & Beverages,Snacks,Kraft
2024-10-03,IKEA Miss Kitchen,LOC004,4,1695.672,1074.304,621.3679999999999,Home & Living,Kitchen,IKEA
2024-10-03,Nivea Take Fragrances,LOC004,2,1565.7620000000002,1085.2160000000001,480.54600000000005,Beauty & Personal Care,Fragrances,Nivea
2024-10-03,Kellogg's Partner Confectionery,LOC004,2,935.1320000000001,558.58,376.552,Food & Beverages,Confectionery,Kellogg's
2024-10-03,H&M Trial Footwear,LOC006,3,976.9320000000002,510.2130000000001,466.71900000000016,Apparel,Footwear,H&M
2024-10-03,L'Oreal Activity Personal Hygiene,LOC006,1,1022.2850000000001,644.017,378.26800000000003,Beauty & Personal Care,Personal Hygiene,L'Oreal
2024-10-03,Adidas By Footwear,LOC006,4,478.8960000000001,261.844,217.05200000000008,Apparel,Footwear,Adidas
2024-10-03,Dell Interview Audio Devices,LOC006,1,255.39800000000002,146.77300000000002,108.625,Electronics,Audio Devices,Dell
2024-10-03,Coca-Cola Sense Confectionery,LOC006,4,2123.748,1046.2320000000002,1077.5159999999998,Food & Beverages,Confectionery,Coca-Cola
2024-10-03,IKEA Miss Kitchen,LOC006,2,847.836,537.152,310.68399999999997,Home & Living,Kitchen,IKEA
2024-10-03,Levi's Best Footwear,LOC006,3,2053.0620000000004,957.1320000000002,1095.9300000000003,Apparel,Footwear,Levi's
2024-10-03,MAC Black Makeup,LOC006,1,937.5520000000001,472.45000000000005,465.1020000000001,Beauty & Personal Care,Makeup,MAC
2024-10-03,Adidas No Kids' Clothing,LOC017,5,1368.18,609.2350000000001,758.9449999999999,Apparel,Kids' Clothing,Adidas
2024-10-03,Dove Realize Skincare,LOC017,3,3118.632,1670.691,1447.941,Beauty & Personal Care,Skincare,Dove
2024-10-03,Nivea Yard Makeup,LOC017,3,1982.4090000000003,1307.4270000000001,674.9820000000002,Beauty & Personal Care,Makeup,Nivea
2024-10-03,Samsung From Gaming,LOC017,4,1252.2858058497295,864.9520000000001,387.3338058497294,Electronics,Gaming,Samsung
2024-10-03,Nivea Take Fragrances,LOC017,3,2348.6430000000005,1627.824,720.8190000000004,Beauty & Personal Care,Fragrances,Nivea
2024-10-03,LG Environment Gaming,LOC014,1,50.57762084646051,40.645,9.932620846460509,Electronics,Gaming,LG
2024-10-03,IKEA How Bedding,LOC014,2,1640.9360000000001,1010.9440000000001,629.9920000000001,Home & Living,Bedding,IKEA
2024-10-03,Nestle Across Health Foods,LOC014,5,2143.534545884331,1680.745,462.7895458843309,Food & Beverages,Health Foods,Nestle
2024-10-03,Nivea Recognize Makeup,LOC014,3,3105.9930000000004,1806.4859999999999,1299.5070000000005,Beauty & Personal Care,Makeup,Nivea
2024-10-03,HP Focus Home Appliances,LOC014,2,982.3880000000001,508.3760000000001,474.01200000000006,Electronics,Home Appliances,HP
2024-10-03,Coca-Cola Sense Confectionery,LOC014,5,2654.685,1307.7900000000002,1346.8949999999998,Food & Beverages,Confectionery,Coca-Cola
2024-10-03,Maybelline Hand Haircare,LOC014,3,972.2790000000001,433.55400000000003,538.7250000000001,Beauty & Personal Care,Haircare,Maybelline
2024-10-03,Samsung Choice Laptops,LOC013,5,2413.9500000000003,1501.775,912.1750000000002,Electronics,Laptops,Samsung
2024-10-03,Samsung Choice Laptops,LOC013,3,1448.37,901.0650000000002,547.3049999999997,Electronics,Laptops,Samsung
2024-10-03,Maybelline Hand Haircare,LOC013,3,972.2790000000001,433.55400000000003,538.7250000000001,Beauty & Personal Care,Haircare,Maybelline
2024-10-03,Dove Indicate Skincare,LOC013,3,435.79800000000006,224.961,210.83700000000005,Beauty & Personal Care,Skincare,Dove
2024-10-03,H&M Test Kids' Clothing,LOC020,3,195.36000000000004,92.763,102.59700000000004,Apparel,Kids' Clothing,H&M
2024-10-03,Levi's Good Accessories,LOC020,1,925.4850000000001,604.9780000000001,320.50700000000006,Apparel,Accessories,Levi's
2024-10-03,Crate & Barrel Goal Kitchen,LOC020,1,522.7860000000001,307.252,215.53400000000005,Home & Living,Kitchen,Crate & Barrel
2024-10-03,Kraft Environment Snacks,LOC020,1,598.5210000000001,269.39000000000004,329.13100000000003,Food & Beverages,Snacks,Kraft
2024-10-03,H&M Tv Women's Clothing,LOC020,3,906.5429999999999,516.945,389.59799999999984,Apparel,Women's Clothing,H&M
2024-10-03,Apple Today Gaming,LOC020,1,248.567,147.466,101.101,Electronics,Gaming,Apple
2024-10-03,PepsiCo Once Confectionery,LOC020,1,275.627,173.668,101.959,Food & Beverages,Confectionery,PepsiCo
2024-10-03,HomeDepot Lead Storage,LOC020,3,66.23100000000001,42.80100000000001,23.43,Home & Living,Storage,HomeDepot
2024-10-03,H&M Trial Footwear,LOC003,1,325.64400000000006,170.07100000000003,155.57300000000004,Apparel,Footwear,H&M
2024-10-03,Samsung Choice Laptops,LOC003,2,965.58,600.71,364.87,Electronics,Laptops,Samsung
2024-10-03,Nivea Take Fragrances,LOC003,5,3914.4050000000007,2713.04,1201.3650000000007,Beauty & Personal Care,Fragrances,Nivea
2024-10-03,HP Focus Home Appliances,LOC003,3,1473.5820000000003,762.5640000000001,711.0180000000003,Electronics,Home Appliances,HP
2024-10-03,Nestle Challenge Confectionery,LOC003,1,375.232,196.94400000000002,178.288,Food & Beverages,Confectionery,Nestle
2024-10-03,Dell Interview Audio Devices,LOC003,4,1021.5920000000001,587.0920000000001,434.5,Electronics,Audio Devices,Dell
2024-10-03,MAC Black Makeup,LOC003,3,2812.6560000000004,1417.3500000000001,1395.3060000000003,Beauty & Personal Care,Makeup,MAC
2024-10-03,HomeDepot Lead Storage,LOC003,2,44.154,28.534000000000002,15.620000000000001,Home & Living,Storage,HomeDepot
2024-10-03,HP Outside Laptops,LOC003,3,2087.089967821262,1240.9980000000003,846.0919678212615,Electronics,Laptops,HP
2024-10-03,Kellogg's Particularly Health Foods,LOC011,1,148.907,72.754,76.153,Food & Beverages,Health Foods,Kellogg's
2024-10-03,MAC Black Makeup,LOC011,4,3750.2080000000005,1889.8000000000002,1860.4080000000004,Beauty & Personal Care,Makeup,MAC
2024-10-03,L'Oreal Choice Personal Hygiene,LOC011,3,2632.0140000000006,1496.616,1135.3980000000006,Beauty & Personal Care,Personal Hygiene,L'Oreal
2024-10-03,Maybelline Sister Personal Hygiene,LOC011,4,2835.3160000000003,1135.42,1699.8960000000002,Beauty & Personal Care,Personal Hygiene,Maybelline
2024-10-03,LG Commercial Gaming,LOC011,5,2890.0850000000005,1412.0700000000002,1478.0150000000003,Electronics,Gaming,LG
2024-10-03,HP Seat Laptops,LOC011,3,2713.8210000000004,1757.745,956.0760000000005,Electronics,Laptops,HP
2024-10-03,Samsung From Gaming,LOC011,1,431.75000000000006,216.23800000000003,215.51200000000003,Electronics,Gaming,Samsung
2024-10-03,HomeDepot Lead Storage,LOC011,5,110.385,71.33500000000002,39.04999999999998,Home & Living,Storage,HomeDepot
2024-10-03,PepsiCo Once Confectionery,LOC007,1,275.627,173.668,101.959,Food & Beverages,Confectionery,PepsiCo
2024-10-03,HomeDepot Detail Furniture,LOC007,1,80.322,36.99300000000001,43.32899999999999,Home & Living,Furniture,HomeDepot
2024-10-03,H&M Hard Kids' Clothing,LOC007,4,3388.132,1947.2640000000001,1440.868,Apparel,Kids' Clothing,H&M
2024-10-03,Kraft Read Groceries,LOC007,3,863.874,537.801,326.073,Food & Beverages,Groceries,Kraft
2024-10-03,Tommy Hilfiger Alone Women's Clothing,LOC007,3,571.494,328.54800000000006,242.94599999999997,Apparel,Women's Clothing,Tommy Hilfiger
2024-10-03,Kraft Read Groceries,LOC007,1,287.95799999999997,179.26700000000002,108.69099999999995,Food & Beverages,Groceries,Kraft
2024-10-03,Nike Change Kids' Clothing,LOC007,1,622.1270000000001,343.266,278.86100000000005,Apparel,Kids' Clothing,Nike
2024-10-03,Levi's Play Footwear,LOC011,4,2550.504,1206.7440000000001,1343.7599999999998,Apparel,Footwear,Levi's
2024-10-03,Apple Those Home Appliances,LOC011,1,36.87200000000001,25.124000000000002,11.748000000000005,Electronics,Home Appliances,Apple
2024-10-03,HP Seat Laptops,LOC011,1,904.6070000000001,585.9150000000001,318.692,Electronics,Laptops,HP
2024-10-03,HP Focus Home Appliances,LOC011,4,1482.3468208675067,1016.7520000000002,465.59482086750654,Electronics,Home Appliances,HP
2024-10-03,Nestle Across Health Foods,LOC004,1,508.475,336.149,172.32600000000002,Food & Beverages,Health Foods,Nestle
2024-10-03,PepsiCo Truth Groceries,LOC004,1,1090.6170000000002,710.38,380.2370000000002,Food & Beverages,Groceries,PepsiCo
2024-10-03,MAC Represent Makeup,LOC007,2,747.032,396.946,350.086,Beauty & Personal Care,Makeup,MAC
2024-10-03,HP Find Smartphones,LOC007,3,2135.8590000000004,1342.209,793.6500000000003,Electronics,Smartphones,HP
2024-10-03,Dell Interview Audio Devices,LOC007,4,1021.5920000000001,587.0920000000001,434.5,Electronics,Audio Devices,Dell
2024-10-03,Nivea Worry Personal Hygiene,LOC007,3,678.6780000000001,466.05899999999997,212.61900000000014,Beauty & Personal Care,Personal Hygiene,Nivea
2024-10-03,Kellogg's Likely Confectionery,LOC007,2,259.798,146.85000000000002,112.94799999999998,Food & Beverages,Confectionery,Kellogg's
2024-10-03,Nivea Take Fragrances,LOC007,4,3131.5240000000003,2170.4320000000002,961.0920000000001,Beauty & Personal Care,Fragrances,Nivea
2024-10-03,Samsung Traditional Audio Devices,LOC006,2,685.9806219227185,499.31200000000007,186.6686219227184,Electronics,Audio Devices,Samsung
2024-10-03,Dove Feel Skincare,LOC006,2,875.49,534.5120000000001,340.97799999999995,Beauty & Personal Care,Skincare,Dove
2024-10-03,L'Oreal Decade Haircare,LOC006,2,329.14200000000005,161.48000000000002,167.66200000000003,Beauty & Personal Care,Haircare,L'Oreal
2024-10-03,Kellogg's Likely Confectionery,LOC006,1,129.899,73.42500000000001,56.47399999999999,Food & Beverages,Confectionery,Kellogg's
2024-10-03,Nivea Less Makeup,LOC006,2,1522.928,756.8000000000001,766.128,Beauty & Personal Care,Makeup,Nivea
2024-10-03,H&M Tv Women's Clothing,LOC013,1,302.181,172.31500000000003,129.86599999999996,Apparel,Women's Clothing,H&M
2024-10-03,Adidas By Footwear,LOC013,1,119.72400000000002,65.461,54.26300000000002,Apparel,Footwear,Adidas
2024-10-03,Apple Those Home Appliances,LOC013,1,36.87200000000001,25.124000000000002,11.748000000000005,Electronics,Home Appliances,Apple
2024-10-03,Kraft Environment Snacks,LOC013,4,1899.629575040312,1077.5600000000002,822.0695750403117,Food & Beverages,Snacks,Kraft
2024-10-03,Dove Painting Personal Hygiene,LOC013,1,105.88600000000001,50.765,55.12100000000001,Beauty & Personal Care,Personal Hygiene,Dove
2024-10-03,IKEA How Bedding,LOC013,1,820.4680000000001,505.47200000000004,314.99600000000004,Home & Living,Bedding,IKEA
2024-10-03,Nike Change Kids' Clothing,LOC013,3,1866.381,1029.7980000000002,836.5829999999999,Apparel,Kids' Clothing,Nike
