product_id,product_name,primary_supplier_id,primary_supplier_name,primary_supplier_country,primary_supplier_tariff,backup_supplier_id,backup_supplier_name,backup_supplier_country,backup_supplier_tariff,last_purchase_date,last_purchase_price,payment_terms,standard_lead_time
P000017,LG Commercial Gaming,S0023,"Johnson, Yoder and Miller Ltd.",Canada,7.79,S0008,Campbell-Clark International,USA,8.44,2025-03-24,244.54,90,74
P000018,Kraft Read Groceries,S0013,Martin-Myers Corp.,USA,6.68,S0017,"Frederick, Hayes and Watson International",Peru,19.57,2024-09-16,160.21,45,26
P000019,Nivea Recognize Makeup,S0022,Anderson Ltd Inc.,Malaysia,20.09,S0029,Garrett Group Inc.,Canada,0.6,2024-07-13,536.35,60,114
P000020,Apple Chair Smartphones,S0017,"Frederick, Hayes and Watson International",Peru,19.57,S0012,White-Simon Corp.,Canada,5.7,2024-08-28,9.15,45,58
P000021,Coca-Cola Sense Confectionery,S0016,Mcpherson LLC Ltd.,Italy,13.96,S0025,"Burns, Lowe and Johnson Ltd.",Germany,3.23,2024-08-23,241.67,30,65
P000022,Maybelline Fear Skincare,S0019,Davis LLC Corp.,France,8.79,S0009,Rodgers PLC Industries,Spain,13.35,2024-09-07,162.99,90,85
P000023,Gap Already Men's Clothing,S0022,Anderson Ltd Inc.,Malaysia,20.09,S0004,Obrien-Bell Industries,Mexico,2.48,2025-01-14,310.11,60,114
P000024,Apple Those Home Appliances,S0009,Rodgers PLC Industries,Spain,13.35,S0030,Wilson-Gonzalez Corp.,USA,6.58,2024-09-24,22.33,45,68
P000025,Maybelline Relationship Skincare,S0009,Rodgers PLC Industries,Spain,13.35,S0017,"Frederick, Hayes and Watson International",Peru,19.57,2025-02-25,667.01,45,68
P000026,Nivea Least Haircare,S0027,Thompson LLC Industries,Netherlands,8.36,S0017,"Frederick, Hayes and Watson International",Peru,19.57,2024-06-09,44.1,90,55
P000027,Dove Realize Skincare,S0018,"Boyd, Roberts and Gutierrez Industries",Mexico,6.24,S0010,Rosario and Sons Ltd.,Indonesia,8.85,2024-08-04,529.83,30,106
P000028,Dove Indicate Skincare,S0005,"Waller, Calderon and Paul Corp.",Peru,19.8,S0028,Taylor-Hamilton International,Poland,8.52,2025-01-06,66.59,30,28
P000029,Dove Painting Personal Hygiene,S0001,Jones Inc Inc.,Spain,12.4,S0016,Mcpherson LLC Ltd.,Italy,13.96,2025-03-01,47.03,30,55
P000030,PepsiCo Truth Groceries,S0005,"Waller, Calderon and Paul Corp.",Peru,19.8,S0023,"Johnson, Yoder and Miller Ltd.",Canada,7.79,2025-01-24,621.56,30,28
P000031,Coca-Cola Drug Snacks,S0004,Obrien-Bell Industries,Mexico,2.48,S0008,Campbell-Clark International,USA,8.44,2024-08-14,60.16,60,70
P000032,Nivea Billion Haircare,S0010,Rosario and Sons Ltd.,Indonesia,8.85,S0005,"Waller, Calderon and Paul Corp.",Peru,19.8,2024-09-27,532.21,30,103
P000033,Maybelline Sister Personal Hygiene,S0007,Smith-Lawrence Ltd.,Bangladesh,24.87,S0026,"Watson, Church and Robinson Ltd.",Malaysia,6.72,2024-12-03,259.64,45,49
P000034,Maybelline Media Fragrances,S0002,"Baker, Price and Smith Corp.",Poland,9.32,S0006,Hall Inc Ltd.,Indonesia,19.39,2025-01-21,589.9,30,101
P000035,Adidas No Kids' Clothing,S0025,"Burns, Lowe and Johnson Ltd.",Germany,3.23,S0020,Johnson LLC Corp.,Chile,9.62,2025-01-17,114.74,90,61
P000036,HP Be Gaming,S0004,Obrien-Bell Industries,Mexico,2.48,S0003,"White, Harmon and Hull Industries",Italy,8.49,2025-04-10,140.73,60,70
P000037,LG Ahead Gaming,S0003,"White, Harmon and Hull Industries",Italy,8.49,S0027,Thompson LLC Industries,Netherlands,8.36,2024-05-23,559.01,30,14
P000038,L'Oreal Best Haircare,S0009,Rodgers PLC Industries,Spain,13.35,S0016,Mcpherson LLC Ltd.,Italy,13.96,2024-12-19,118.2,45,68
P000039,L'Oreal Activity Personal Hygiene,S0027,Thompson LLC Industries,Netherlands,8.36,S0016,Mcpherson LLC Ltd.,Italy,13.96,2024-08-03,580.8,90,55
P000040,MAC Black Makeup,S0003,"White, Harmon and Hull Industries",Italy,8.49,S0021,Jimenez LLC Industries,Colombia,19.82,2025-01-11,442.26,30,14
P000041,Maybelline Light Haircare,S0016,Mcpherson LLC Ltd.,Italy,13.96,S0022,Anderson Ltd Inc.,Malaysia,20.09,2025-03-07,436.99,30,65
P000042,H&M Tv Women's Clothing,S0019,Davis LLC Corp.,France,8.79,S0023,"Johnson, Yoder and Miller Ltd.",Canada,7.79,2024-10-22,149.17,90,85
P000043,Dell Interview Audio Devices,S0012,White-Simon Corp.,Canada,5.7,S0006,Hall Inc Ltd.,Indonesia,19.39,2024-08-07,137.16,60,120
P000044,HP Focus Home Appliances,S0024,"Allison, Parker and Aguilar International",Chile,10.92,S0003,"White, Harmon and Hull Industries",Italy,8.49,2024-08-02,235.04,90,48
P000045,Nivea Take Fragrances,S0027,Thompson LLC Industries,Netherlands,8.36,S0024,"Allison, Parker and Aguilar International",Chile,10.92,2024-06-29,472.9,90,55
P000046,PepsiCo Tax Health Foods,S0002,"Baker, Price and Smith Corp.",Poland,9.32,S0014,"Smith, White and Nguyen Inc.",Italy,6.93,2024-05-06,411.37,30,101
P000047,Samsung Interesting Smartphones,S0005,"Waller, Calderon and Paul Corp.",Peru,19.8,S0007,Smith-Lawrence Ltd.,Bangladesh,24.87,2024-06-27,59.76,30,28
P000048,Maybelline Hand Haircare,S0010,Rosario and Sons Ltd.,Indonesia,8.85,S0030,Wilson-Gonzalez Corp.,USA,6.58,2024-07-30,128.94,30,103
P000049,Dove Feel Skincare,S0024,"Allison, Parker and Aguilar International",Chile,10.92,S0025,"Burns, Lowe and Johnson Ltd.",Germany,3.23,2024-09-03,240.15,90,48
P000050,L'Oreal Decade Haircare,S0023,"Johnson, Yoder and Miller Ltd.",Canada,7.79,S0028,Taylor-Hamilton International,Poland,8.52,2024-05-16,74.28,90,74
P000051,PepsiCo Once Confectionery,S0021,Jimenez LLC Industries,Colombia,19.82,S0005,"Waller, Calderon and Paul Corp.",Peru,19.8,2024-08-07,152.3,90,71
P000052,Kraft Fall Confectionery,S0022,Anderson Ltd Inc.,Malaysia,20.09,S0001,Jones Inc Inc.,Spain,12.4,2025-01-09,66.58,60,114
P000053,LG Environment Gaming,S0006,Hall Inc Ltd.,Indonesia,19.39,S0019,Davis LLC Corp.,France,8.79,2024-10-08,37.01,90,86
P000054,Levi's Best Footwear,S0026,"Watson, Church and Robinson Ltd.",Malaysia,6.72,S0010,Rosario and Sons Ltd.,Indonesia,8.85,2024-08-26,286.18,45,92
P000055,Tommy Hilfiger Alone Women's Clothing,S0011,"Drake, Johnson and Martinez Ltd.",Poland,7.69,S0030,Wilson-Gonzalez Corp.,USA,6.58,2024-07-02,103.25,60,92
P000056,Dove Whatever Haircare,S0008,Campbell-Clark International,USA,8.44,S0018,"Boyd, Roberts and Gutierrez Industries",Mexico,6.24,2024-09-24,127.07,45,18
P000057,Sony Career Gaming,S0014,"Smith, White and Nguyen Inc.",Italy,6.93,S0009,Rodgers PLC Industries,Spain,13.35,2024-05-06,58.7,45,79
P000058,Wayfair Whom Bedding,S0028,Taylor-Hamilton International,Poland,8.52,S0001,Jones Inc Inc.,Spain,12.4,2024-06-21,249.39,30,110
P000059,Apple Today Gaming,S0021,Jimenez LLC Industries,Colombia,19.82,S0005,"Waller, Calderon and Paul Corp.",Peru,19.8,2024-08-11,139.26,90,71
P000060,L'Oreal Measure Makeup,S0002,"Baker, Price and Smith Corp.",Poland,9.32,S0019,Davis LLC Corp.,France,8.79,2025-01-27,408.07,30,101
P000061,Samsung Traditional Audio Devices,S0023,"Johnson, Yoder and Miller Ltd.",Canada,7.79,S0028,Taylor-Hamilton International,Poland,8.52,2024-12-30,231.97,90,74
P000062,IKEA How Bedding,S0013,Martin-Myers Corp.,USA,6.68,S0027,Thompson LLC Industries,Netherlands,8.36,2024-10-14,440.39,45,26
P000063,HomeDepot Detail Furniture,S0011,"Drake, Johnson and Martinez Ltd.",Poland,7.69,S0009,Rodgers PLC Industries,Spain,13.35,2024-12-29,34.69,60,92
P000064,Kellogg's Particularly Health Foods,S0012,White-Simon Corp.,Canada,5.7,S0010,Rosario and Sons Ltd.,Indonesia,8.85,2024-09-15,67.0,60,120
P000065,Samsung From Gaming,S0005,"Waller, Calderon and Paul Corp.",Peru,19.8,S0029,Garrett Group Inc.,Canada,0.6,2025-01-04,191.44,30,28
P000066,Coca-Cola Exist Health Foods,S0007,Smith-Lawrence Ltd.,Bangladesh,24.87,S0014,"Smith, White and Nguyen Inc.",Italy,6.93,2024-08-24,187.21,45,49
P000067,H&M Trial Footwear,S0030,Wilson-Gonzalez Corp.,USA,6.58,S0011,"Drake, Johnson and Martinez Ltd.",Poland,7.69,2025-02-09,158.17,60,37
P000068,IKEA Congress Storage,S0018,"Boyd, Roberts and Gutierrez Industries",Mexico,6.24,S0023,"Johnson, Yoder and Miller Ltd.",Canada,7.79,2024-08-22,324.49,30,106
P000069,HP Seat Laptops,S0007,Smith-Lawrence Ltd.,Bangladesh,24.87,S0013,Martin-Myers Corp.,USA,6.68,2025-03-08,516.2,45,49
P000070,Nivea Less Makeup,S0013,Martin-Myers Corp.,USA,6.68,S0019,Davis LLC Corp.,France,8.79,2025-03-20,336.33,45,26
P000071,H&M Test Kids' Clothing,S0020,Johnson LLC Corp.,Chile,9.62,S0030,Wilson-Gonzalez Corp.,USA,6.58,2025-04-04,29.11,60,16
P000072,Levi's Good Accessories,S0021,Jimenez LLC Industries,Colombia,19.82,S0001,Jones Inc Inc.,Spain,12.4,2024-05-15,544.3,90,71
P000073,PepsiCo Hotel Beverages,S0010,Rosario and Sons Ltd.,Indonesia,8.85,S0013,Martin-Myers Corp.,USA,6.68,2025-01-06,81.98,30,103
P000074,Nivea Win Haircare,S0004,Obrien-Bell Industries,Mexico,2.48,S0001,Jones Inc Inc.,Spain,12.4,2024-11-13,620.59,60,70
P000075,Samsung Choice Laptops,S0018,"Boyd, Roberts and Gutierrez Industries",Mexico,6.24,S0029,Garrett Group Inc.,Canada,0.6,2024-07-08,273.41,30,106
P000076,Adidas Rise Women's Clothing,S0021,Jimenez LLC Industries,Colombia,19.82,S0024,"Allison, Parker and Aguilar International",Chile,10.92,2025-01-01,99.6,90,71
P000077,Crate & Barrel Course Storage,S0001,Jones Inc Inc.,Spain,12.4,S0003,"White, Harmon and Hull Industries",Italy,8.49,2025-03-08,552.11,30,55
P000078,Crate & Barrel Goal Kitchen,S0005,"Waller, Calderon and Paul Corp.",Peru,19.8,S0030,Wilson-Gonzalez Corp.,USA,6.58,2025-01-11,282.28,30,28
P000079,Nike Change Kids' Clothing,S0005,"Waller, Calderon and Paul Corp.",Peru,19.8,S0027,Thompson LLC Industries,Netherlands,8.36,2024-11-05,310.69,30,28
P000080,Kellogg's Partner Confectionery,S0030,Wilson-Gonzalez Corp.,USA,6.58,S0024,"Allison, Parker and Aguilar International",Chile,10.92,2024-12-11,261.47,60,37
P000081,Maybelline Draw Fragrances,S0004,Obrien-Bell Industries,Mexico,2.48,S0023,"Johnson, Yoder and Miller Ltd.",Canada,7.79,2024-08-26,499.94,60,70
P000082,L'Oreal Choice Personal Hygiene,S0005,"Waller, Calderon and Paul Corp.",Peru,19.8,S0029,Garrett Group Inc.,Canada,0.6,2025-02-07,437.17,30,28
P000083,HP Outside Laptops,S0026,"Watson, Church and Robinson Ltd.",Malaysia,6.72,S0019,Davis LLC Corp.,France,8.79,2025-02-13,367.68,45,92
P000084,Nivea Worry Personal Hygiene,S0006,Hall Inc Ltd.,Indonesia,19.39,S0030,Wilson-Gonzalez Corp.,USA,6.58,2025-01-12,138.81,90,86
P000085,MAC Activity Makeup,S0028,Taylor-Hamilton International,Poland,8.52,S0004,Obrien-Bell Industries,Mexico,2.48,2024-11-30,394.34,30,110
P000086,Dove When Makeup,S0006,Hall Inc Ltd.,Indonesia,19.39,S0017,"Frederick, Hayes and Watson International",Peru,19.57,2025-02-09,521.68,90,86
P000087,MAC Risk Skincare,S0021,Jimenez LLC Industries,Colombia,19.82,S0013,Martin-Myers Corp.,USA,6.68,2025-04-06,8.59,90,71
P000088,Sony Mention Laptops,S0003,"White, Harmon and Hull Industries",Italy,8.49,S0022,Anderson Ltd Inc.,Malaysia,20.09,2024-05-22,457.41,30,14
P000089,IKEA Miss Kitchen,S0006,Hall Inc Ltd.,Indonesia,19.39,S0015,"Vasquez, King and Sanders Industries",Peru,12.5,2025-03-18,243.15,90,86
P000090,Kraft Husband Health Foods,S0012,White-Simon Corp.,Canada,5.7,S0004,Obrien-Bell Industries,Mexico,2.48,2025-03-19,367.33,60,120
P000091,Wayfair One Decor,S0019,Davis LLC Corp.,France,8.79,S0003,"White, Harmon and Hull Industries",Italy,8.49,2025-03-13,140.06,90,85
P000092,Nestle Eight Confectionery,S0022,Anderson Ltd Inc.,Malaysia,20.09,S0009,Rodgers PLC Industries,Spain,13.35,2024-08-04,79.39,60,114
P000093,Sony Certainly Audio Devices,S0002,"Baker, Price and Smith Corp.",Poland,9.32,S0030,Wilson-Gonzalez Corp.,USA,6.58,2025-02-03,237.45,30,101
P000094,Nestle Challenge Confectionery,S0015,"Vasquez, King and Sanders Industries",Peru,12.5,S0013,Martin-Myers Corp.,USA,6.68,2025-02-19,171.77,60,28
P000095,Kraft Environment Snacks,S0014,"Smith, White and Nguyen Inc.",Italy,6.93,S0007,Smith-Lawrence Ltd.,Bangladesh,24.87,2024-07-21,255.03,45,79
P000096,Kellogg's Likely Confectionery,S0023,"Johnson, Yoder and Miller Ltd.",Canada,7.79,S0011,"Drake, Johnson and Martinez Ltd.",Poland,7.69,2025-03-23,67.31,90,74
P000097,Kraft Decision Beverages,S0027,Thompson LLC Industries,Netherlands,8.36,S0001,Jones Inc Inc.,Spain,12.4,2024-07-21,532.22,90,55
P000098,HP Find Smartphones,S0022,Anderson Ltd Inc.,Malaysia,20.09,S0019,Davis LLC Corp.,France,8.79,2024-12-31,401.7,60,114
P000099,Levi's Play Footwear,S0026,"Watson, Church and Robinson Ltd.",Malaysia,6.72,S0028,Taylor-Hamilton International,Poland,8.52,2025-04-05,264.15,45,92
P000100,Wayfair Husband Furniture,S0002,"Baker, Price and Smith Corp.",Poland,9.32,S0005,"Waller, Calderon and Paul Corp.",Peru,19.8,2024-11-20,484.84,30,101
