date,product_id,product_name,top_category,sub_category,age_segment,channel,quantity,unit_price,total_amount,revenue
2024-10-02 12:03:58.260205,P000019,Nivea Recognize Makeup,Beauty & Personal Care,Makeup,Gen Z,Paid Search,5,880.98,4404.88,4404.9
2024-10-02 12:03:58.260205,P000077,Crate & Barrel Course Storage,Home & Living,Storage,Gen Z,Paid Search,1,829.8,829.8,829.8
2024-10-02 12:03:58.260205,P000099,Levi's Play Footwear,Apparel,Footwear,Gen Z,Display Ads,4,525.28,2101.14,2101.12
2024-10-02 12:03:58.260205,P000016,Adidas By Footwear,Apparel,Footwear,Gen Z,Display Ads,1,95.03,95.03,95.03
2024-10-02 12:03:58.260205,P000054,Levi's Best Footwear,Apparel,Footwear,Gen Z,Display Ads,1,553.58,553.58,553.58
2024-10-02 12:03:58.260205,P000054,Levi's Best Footwear,Apparel,Footwear,Gen Z,Display Ads,2,530.76,1061.53,1061.52
2024-10-02 12:03:58.260205,P000035,Adidas No Kids' Clothing,Apparel,Kids' Clothing,Gen Z,Display Ads,4,235.7,942.78,942.8
2024-10-02 12:03:58.260205,P000043,Dell Interview Audio Devices,Electronics,Audio Devices,Gen Z,Display Ads,3,206.54,619.61,619.62
2024-10-02 12:03:58.260205,P000036,HP Be Gaming,Electronics,Gaming,Gen Z,Display Ads,3,207.04,621.13,621.12
2024-10-02 12:03:58.260205,P000075,Samsung Choice Laptops,Electronics,Laptops,Gen Z,Display Ads,3,370.33,1110.99,1110.99
2024-10-02 12:03:58.260205,P000075,Samsung Choice Laptops,Electronics,Laptops,Gen Z,Display Ads,1,363.58,363.58,363.58
2024-10-02 12:03:58.260205,P000044,HP Focus Home Appliances,Electronics,Home Appliances,Gen Z,Display Ads,1,403.68,403.68,403.68
2024-10-02 12:03:58.260205,P000037,LG Ahead Gaming,Electronics,Gaming,Gen Z,Display Ads,2,757.8,1515.59,1515.6
2024-10-02 12:03:58.260205,P000053,LG Environment Gaming,Electronics,Gaming,Gen Z,Display Ads,5,48.28,241.38,241.4
2024-10-02 12:03:58.260205,P000037,LG Ahead Gaming,Electronics,Gaming,Gen Z,Display Ads,5,786.23,3931.14,3931.15
2024-10-02 12:03:58.260205,P000075,Samsung Choice Laptops,Electronics,Laptops,Gen Z,Display Ads,1,412.22,412.22,412.22
2024-10-02 12:03:58.260205,P000083,HP Outside Laptops,Electronics,Laptops,Gen Z,Display Ads,1,736.27,736.27,736.27
2024-10-02 12:03:58.260205,P000028,Dove Indicate Skincare,Beauty & Personal Care,Skincare,Gen Z,Display Ads,1,113.82,113.82,113.82
2024-10-02 12:03:58.260205,P000051,PepsiCo Once Confectionery,Food & Beverages,Confectionery,Gen Z,Display Ads,3,202.46,607.37,607.38
2024-10-02 12:03:58.260205,P000030,PepsiCo Truth Groceries,Food & Beverages,Groceries,Gen Z,Display Ads,2,815.26,1630.53,1630.52
2024-10-02 12:03:58.260205,P000066,Coca-Cola Exist Health Foods,Food & Beverages,Health Foods,Gen Z,Display Ads,3,362.81,1088.43,1088.43
2024-10-02 12:03:58.260205,P000094,Nestle Challenge Confectionery,Food & Beverages,Confectionery,Gen Z,Display Ads,5,297.07,1485.37,1485.35
2024-10-02 12:03:58.260205,P000051,PepsiCo Once Confectionery,Food & Beverages,Confectionery,Gen Z,Display Ads,5,212.17,1060.85,1060.85
2024-10-02 12:03:58.260205,P000021,Coca-Cola Sense Confectionery,Food & Beverages,Confectionery,Gen Z,Display Ads,1,453.25,453.25,453.25
2024-10-02 12:03:58.260205,P000018,Kraft Read Groceries,Food & Beverages,Groceries,Gen Z,Display Ads,3,242.04,726.13,726.12
2024-10-02 12:03:58.260205,P000077,Crate & Barrel Course Storage,Home & Living,Storage,Gen Z,Display Ads,5,758.06,3790.32,3790.2999999999997
2024-10-02 12:03:58.260205,P000068,IKEA Congress Storage,Home & Living,Storage,Gen Z,Display Ads,1,420.97,420.97,420.97
2024-10-02 12:03:58.260205,P000016,Adidas By Footwear,Apparel,Footwear,Gen Z,Email Marketing,2,99.75,199.49,199.5
2024-10-02 12:03:58.260205,P000067,H&M Trial Footwear,Apparel,Footwear,Gen Z,Email Marketing,5,263.65,1318.24,1318.25
2024-10-02 12:03:58.260205,P000079,Nike Change Kids' Clothing,Apparel,Kids' Clothing,Gen Z,Email Marketing,4,468.77,1875.07,1875.08
2024-10-02 12:03:58.260205,P000071,H&M Test Kids' Clothing,Apparel,Kids' Clothing,Gen Z,Email Marketing,3,54.91,164.73,164.73
2024-10-02 12:03:58.260205,P000098,HP Find Smartphones,Electronics,Smartphones,Gen Z,Email Marketing,2,614.02,1228.05,1228.04
2024-10-02 12:03:58.260205,P000075,Samsung Choice Laptops,Electronics,Laptops,Gen Z,Email Marketing,2,359.63,719.25,719.26
2024-10-02 12:03:58.260205,P000020,Apple Chair Smartphones,Electronics,Smartphones,Gen Z,Email Marketing,2,12.81,25.61,25.62
2024-10-02 12:03:58.260205,P000059,Apple Today Gaming,Electronics,Gaming,Gen Z,Email Marketing,3,205.79,617.38,617.37
2024-10-02 12:03:58.260205,P000017,LG Commercial Gaming,Electronics,Gaming,Gen Z,Email Marketing,4,479.04,1916.15,1916.16
2024-10-02 12:03:58.260205,P000069,HP Seat Laptops,Electronics,Laptops,Gen Z,Email Marketing,5,691.09,3455.47,3455.4500000000003
2024-10-02 12:03:58.260205,P000086,Dove When Makeup,Beauty & Personal Care,Makeup,Gen Z,Email Marketing,5,811.86,4059.32,4059.3
2024-10-02 12:03:58.260205,P000074,Nivea Win Haircare,Beauty & Personal Care,Haircare,Gen Z,Email Marketing,5,799.24,3996.21,3996.2
2024-10-02 12:03:58.260205,P000056,Dove Whatever Haircare,Beauty & Personal Care,Haircare,Gen Z,Email Marketing,3,176.61,529.84,529.83
2024-10-02 12:03:58.260205,P000006,MAC Represent Makeup,Beauty & Personal Care,Makeup,Gen Z,Email Marketing,3,316.39,949.16,949.17
2024-10-02 12:03:58.260205,P000040,MAC Black Makeup,Beauty & Personal Care,Makeup,Gen Z,Email Marketing,4,716.3,2865.21,2865.2
2024-10-02 12:03:58.260205,P000099,Levi's Play Footwear,Apparel,Footwear,Gen Z,Affiliate Marketing,5,542.92,2714.61,2714.6
2024-10-02 12:03:58.260205,P000004,Levi's Middle Kids' Clothing,Apparel,Kids' Clothing,Gen Z,Affiliate Marketing,4,577.07,2308.27,2308.28
2024-10-02 12:03:58.260205,P000023,Gap Already Men's Clothing,Apparel,Men's Clothing,Gen Z,Affiliate Marketing,3,610.39,1831.17,1831.17
2024-10-02 12:03:58.260205,P000043,Dell Interview Audio Devices,Electronics,Audio Devices,Gen Z,Affiliate Marketing,2,190.76,381.52,381.52
2024-10-02 12:03:58.260205,P000043,Dell Interview Audio Devices,Electronics,Audio Devices,Gen Z,Affiliate Marketing,4,199.35,797.38,797.4
2024-10-02 12:03:58.260205,P000043,Dell Interview Audio Devices,Electronics,Audio Devices,Gen Z,Affiliate Marketing,3,204.01,612.03,612.03
2024-10-02 12:03:58.260205,P000020,Apple Chair Smartphones,Electronics,Smartphones,Gen Z,Affiliate Marketing,4,14.7,58.8,58.8
2024-10-02 12:03:58.260205,P000014,Dell Race Smartphones,Electronics,Smartphones,Gen Z,Affiliate Marketing,2,784.17,1568.33,1568.34
2024-10-02 12:03:58.260205,P000014,Dell Race Smartphones,Electronics,Smartphones,Gen Z,Affiliate Marketing,3,742.78,2228.34,2228.34
2024-10-02 12:03:58.260205,P000044,HP Focus Home Appliances,Electronics,Home Appliances,Gen Z,Affiliate Marketing,1,398.77,398.77,398.77
2024-10-02 12:03:58.260205,P000044,HP Focus Home Appliances,Electronics,Home Appliances,Gen Z,Affiliate Marketing,1,393.21,393.21,393.21
2024-10-02 12:03:58.260205,P000095,Kraft Environment Snacks,Food & Beverages,Snacks,Gen Z,Affiliate Marketing,4,488.31,1953.26,1953.24
2024-10-02 12:03:58.260205,P000046,PepsiCo Tax Health Foods,Food & Beverages,Health Foods,Gen Z,Affiliate Marketing,1,534.38,534.38,534.38
2024-10-02 12:03:58.260205,P000030,PepsiCo Truth Groceries,Food & Beverages,Groceries,Gen Z,Affiliate Marketing,2,852.7,1705.39,1705.4
2024-10-02 12:03:58.260205,P000066,Coca-Cola Exist Health Foods,Food & Beverages,Health Foods,Gen Z,Affiliate Marketing,2,326.44,652.89,652.88
2024-10-02 12:03:58.260205,P000094,Nestle Challenge Confectionery,Food & Beverages,Confectionery,Gen Z,Affiliate Marketing,1,275.93,275.93,275.93
2024-10-02 12:03:58.260205,P000030,PepsiCo Truth Groceries,Food & Beverages,Groceries,Gen Z,Affiliate Marketing,3,884.1,2652.3,2652.3
2024-10-02 12:03:58.260205,P000100,Wayfair Husband Furniture,Home & Living,Furniture,Gen Z,Affiliate Marketing,5,737.29,3686.44,3686.45
2024-10-02 12:03:58.260205,P000077,Crate & Barrel Course Storage,Home & Living,Storage,Gen Z,Affiliate Marketing,1,741.32,741.32,741.32
2024-10-02 12:03:58.260205,P000062,IKEA How Bedding,Home & Living,Bedding,Gen Z,Affiliate Marketing,4,615.33,2461.31,2461.32
2024-10-02 12:03:58.260205,P000091,Wayfair One Decor,Home & Living,Decor,Gen Z,Affiliate Marketing,4,182.9,731.58,731.6
2024-10-02 12:03:58.260205,P000100,Wayfair Husband Furniture,Home & Living,Furniture,Gen Z,Affiliate Marketing,5,683.76,3418.82,3418.8
2024-10-02 12:03:58.260205,P000062,IKEA How Bedding,Home & Living,Bedding,Gen Z,Affiliate Marketing,4,656.88,2627.53,2627.52
2024-10-02 12:03:58.260205,P000100,Wayfair Husband Furniture,Home & Living,Furniture,Gen Z,Affiliate Marketing,1,721.74,721.74,721.74
2024-10-02 12:03:58.260205,P000044,HP Focus Home Appliances,Electronics,Home Appliances,Millennials,Social Media,5,418.51,2092.55,2092.55
2024-10-02 12:03:58.260205,P000065,Samsung From Gaming,Electronics,Gaming,Millennials,Social Media,5,354.19,1770.96,1770.95
2024-10-02 12:03:58.260205,P000046,PepsiCo Tax Health Foods,Food & Beverages,Health Foods,Millennials,Social Media,5,525.68,2628.39,2628.3999999999996
2024-10-02 12:03:58.260205,P000096,Kellogg's Likely Confectionery,Food & Beverages,Confectionery,Millennials,Social Media,4,113.69,454.75,454.76
2024-10-02 12:03:58.260205,P000052,Kraft Fall Confectionery,Food & Beverages,Confectionery,Millennials,Social Media,3,152.79,458.38,458.37
2024-10-02 12:03:58.260205,P000005,LG Action Laptops,Electronics,Laptops,Millennials,Paid Search,4,211.34,845.37,845.36
2024-10-02 12:03:58.260205,P000024,Apple Those Home Appliances,Electronics,Home Appliances,Millennials,Paid Search,1,33.03,33.03,33.03
2024-10-02 12:03:58.260205,P000020,Apple Chair Smartphones,Electronics,Smartphones,Millennials,Paid Search,1,14.43,14.43,14.43
2024-10-02 12:03:58.260205,P000066,Coca-Cola Exist Health Foods,Food & Beverages,Health Foods,Millennials,Paid Search,5,390.83,1954.17,1954.1499999999999
2024-10-02 12:03:58.260205,P000092,Nestle Eight Confectionery,Food & Beverages,Confectionery,Millennials,Paid Search,3,158.69,476.08,476.07
2024-10-02 12:03:58.260205,P000064,Kellogg's Particularly Health Foods,Food & Beverages,Health Foods,Millennials,Paid Search,2,132.4,264.79,264.8
2024-10-02 12:03:58.260205,P000051,PepsiCo Once Confectionery,Food & Beverages,Confectionery,Millennials,Paid Search,5,251.08,1255.38,1255.4
2024-10-02 12:03:58.260205,P000023,Gap Already Men's Clothing,Apparel,Men's Clothing,Millennials,Display Ads,3,650.15,1950.44,1950.4499999999998
2024-10-02 12:03:58.260205,P000076,Adidas Rise Women's Clothing,Apparel,Women's Clothing,Millennials,Display Ads,4,176.63,706.51,706.52
2024-10-02 12:03:58.260205,P000079,Nike Change Kids' Clothing,Apparel,Kids' Clothing,Millennials,Display Ads,1,556.21,556.21,556.21
2024-10-02 12:03:58.260205,P000023,Gap Already Men's Clothing,Apparel,Men's Clothing,Millennials,Display Ads,1,624.5,624.5,624.5
2024-10-02 12:03:58.260205,P000023,Gap Already Men's Clothing,Apparel,Men's Clothing,Millennials,Display Ads,1,643.94,643.94,643.94
2024-10-02 12:03:58.260205,P000054,Levi's Best Footwear,Apparel,Footwear,Millennials,Display Ads,4,589.39,2357.57,2357.56
2024-10-02 12:03:58.260205,P000073,PepsiCo Hotel Beverages,Food & Beverages,Beverages,Millennials,Display Ads,3,118.46,355.39,355.38
2024-10-02 12:03:58.260205,P000094,Nestle Challenge Confectionery,Food & Beverages,Confectionery,Millennials,Display Ads,4,333.24,1332.95,1332.96
2024-10-02 12:03:58.260205,P000009,Nestle Across Health Foods,Food & Beverages,Health Foods,Millennials,Display Ads,4,431.18,1724.72,1724.72
2024-10-02 12:03:58.260205,P000097,Kraft Decision Beverages,Food & Beverages,Beverages,Millennials,Display Ads,3,847.99,2543.96,2543.9700000000003
2024-10-02 12:03:58.260205,P000066,Coca-Cola Exist Health Foods,Food & Beverages,Health Foods,Millennials,Display Ads,1,355.5,355.5,355.5
2024-10-02 12:03:58.260205,P000043,Dell Interview Audio Devices,Electronics,Audio Devices,Millennials,Email Marketing,5,236.36,1181.78,1181.8000000000002
2024-10-02 12:03:58.260205,P000010,HP Visit Gaming,Electronics,Gaming,Millennials,Email Marketing,5,171.9,859.5,859.5
2024-10-02 12:03:58.260205,P000069,HP Seat Laptops,Electronics,Laptops,Millennials,Email Marketing,3,841.23,2523.69,2523.69
2024-10-02 12:03:58.260205,P000035,Adidas No Kids' Clothing,Apparel,Kids' Clothing,Millennials,Email Marketing,2,247.59,495.17,495.18
2024-10-02 12:03:58.260205,P000001,Gap Month Footwear,Apparel,Footwear,Millennials,Email Marketing,5,552.29,2761.43,2761.45
2024-10-02 12:03:58.260205,P000016,Adidas By Footwear,Apparel,Footwear,Millennials,Email Marketing,1,101.45,101.45,101.45
2024-10-02 12:03:58.260205,P000023,Gap Already Men's Clothing,Apparel,Men's Clothing,Millennials,Email Marketing,2,641.29,1282.59,1282.58
2024-10-02 12:03:58.260205,P000056,Dove Whatever Haircare,Beauty & Personal Care,Haircare,Millennials,Email Marketing,5,202.39,1011.95,1011.9499999999999
2024-10-02 12:03:58.260205,P000074,Nivea Win Haircare,Beauty & Personal Care,Haircare,Millennials,Email Marketing,2,930.42,1860.83,1860.84
2024-10-02 12:03:58.260205,P000081,Maybelline Draw Fragrances,Beauty & Personal Care,Fragrances,Millennials,Email Marketing,3,764.67,2294.0,2294.0099999999998
2024-10-02 12:03:58.260205,P000032,Nivea Billion Haircare,Beauty & Personal Care,Haircare,Millennials,Email Marketing,5,857.41,4287.05,4287.05
2024-10-02 12:03:58.260205,P000039,L'Oreal Activity Personal Hygiene,Beauty & Personal Care,Personal Hygiene,Millennials,Email Marketing,2,864.53,1729.07,1729.06
2024-10-02 12:03:58.260205,P000024,Apple Those Home Appliances,Electronics,Home Appliances,Millennials,Affiliate Marketing,1,34.9,34.9,34.9
2024-10-02 12:03:58.260205,P000017,LG Commercial Gaming,Electronics,Gaming,Millennials,Affiliate Marketing,5,528.71,2643.54,2643.55
2024-10-02 12:03:58.260205,P000053,LG Environment Gaming,Electronics,Gaming,Millennials,Affiliate Marketing,5,55.15,275.74,275.75
2024-10-02 12:03:58.260205,P000044,HP Focus Home Appliances,Electronics,Home Appliances,Millennials,Affiliate Marketing,4,432.97,1731.9,1731.88
2024-10-02 12:03:58.260205,P000075,Samsung Choice Laptops,Electronics,Laptops,Millennials,Affiliate Marketing,4,454.63,1818.52,1818.52
2024-10-02 12:03:58.260205,P000075,Samsung Choice Laptops,Electronics,Laptops,Millennials,Affiliate Marketing,5,431.23,2156.16,2156.15
2024-10-02 12:03:58.260205,P000089,IKEA Miss Kitchen,Home & Living,Kitchen,Millennials,Affiliate Marketing,3,383.91,1151.73,1151.73
2024-10-02 12:03:58.260205,P000029,Dove Painting Personal Hygiene,Beauty & Personal Care,Personal Hygiene,Millennials,Affiliate Marketing,1,95.29,95.29,95.29
2024-10-02 12:03:58.260205,P000034,Maybelline Media Fragrances,Beauty & Personal Care,Fragrances,Millennials,Affiliate Marketing,5,886.59,4432.95,4432.95
2024-10-02 12:03:58.260205,P000051,PepsiCo Once Confectionery,Food & Beverages,Confectionery,Millennials,Affiliate Marketing,4,249.3,997.18,997.2
2024-10-02 12:03:58.260205,P000066,Coca-Cola Exist Health Foods,Food & Beverages,Health Foods,Millennials,Affiliate Marketing,5,395.97,1979.83,1979.8500000000001
2024-10-02 12:03:58.260205,P000051,PepsiCo Once Confectionery,Food & Beverages,Confectionery,Millennials,Affiliate Marketing,3,251.66,754.98,754.98
2024-10-02 12:03:58.260205,P000030,PepsiCo Truth Groceries,Food & Beverages,Groceries,Millennials,Affiliate Marketing,4,1007.45,4029.8,4029.8
2024-10-02 12:03:58.260205,P000021,Coca-Cola Sense Confectionery,Food & Beverages,Confectionery,Millennials,Affiliate Marketing,4,473.1,1892.39,1892.4
2024-10-02 12:03:58.260205,P000068,IKEA Congress Storage,Home & Living,Storage,Gen X,Social Media,1,461.62,461.62,461.62
2024-10-02 12:03:58.260205,P000003,IKEA Letter Decor,Home & Living,Decor,Gen X,Social Media,2,921.89,1843.77,1843.78
2024-10-02 12:03:58.260205,P000059,Apple Today Gaming,Electronics,Gaming,Gen X,Social Media,4,220.74,882.97,882.96
2024-10-02 12:03:58.260205,P000059,Apple Today Gaming,Electronics,Gaming,Gen X,Social Media,5,222.95,1114.76,1114.75
2024-10-02 12:03:58.260205,P000030,PepsiCo Truth Groceries,Food & Beverages,Groceries,Gen X,Social Media,3,989.93,2969.78,2969.79
2024-10-02 12:03:58.260205,P000046,PepsiCo Tax Health Foods,Food & Beverages,Health Foods,Gen X,Social Media,1,531.21,531.21,531.21
2024-10-02 12:03:58.260205,P000070,Nivea Less Makeup,Beauty & Personal Care,Makeup,Gen X,Social Media,5,626.67,3133.35,3133.35
2024-10-02 12:03:58.260205,P000082,L'Oreal Choice Personal Hygiene,Beauty & Personal Care,Personal Hygiene,Gen X,Social Media,4,794.82,3179.27,3179.28
2024-10-02 12:03:58.260205,P000028,Dove Indicate Skincare,Beauty & Personal Care,Skincare,Gen X,Social Media,5,138.6,692.99,693.0
2024-10-02 12:03:58.260205,P000050,L'Oreal Decade Haircare,Beauty & Personal Care,Haircare,Gen X,Social Media,3,151.26,453.78,453.78
2024-10-02 12:03:58.260205,P000091,Wayfair One Decor,Home & Living,Decor,Gen X,Paid Search,5,204.7,1023.51,1023.5
2024-10-02 12:03:58.260205,P000003,IKEA Letter Decor,Home & Living,Decor,Gen X,Paid Search,5,943.18,4715.9,4715.9
2024-10-02 12:03:58.260205,P000093,Sony Certainly Audio Devices,Electronics,Audio Devices,Gen X,Paid Search,1,453.43,453.43,453.43
2024-10-02 12:03:58.260205,P000057,Sony Career Gaming,Electronics,Gaming,Gen X,Paid Search,5,118.28,591.38,591.4
2024-10-02 12:03:58.260205,P000047,Samsung Interesting Smartphones,Electronics,Smartphones,Gen X,Paid Search,4,145.07,580.27,580.28
2024-10-02 12:03:58.260205,P000010,HP Visit Gaming,Electronics,Gaming,Gen X,Paid Search,5,189.3,946.51,946.5
2024-10-02 12:03:58.260205,P000043,Dell Interview Audio Devices,Electronics,Audio Devices,Gen X,Paid Search,2,222.49,444.98,444.98
2024-10-02 12:03:58.260205,P000075,Samsung Choice Laptops,Electronics,Laptops,Gen X,Paid Search,5,457.89,2289.47,2289.45
2024-10-02 12:03:58.260205,P000064,Kellogg's Particularly Health Foods,Food & Beverages,Health Foods,Gen X,Paid Search,4,126.16,504.63,504.64
2024-10-02 12:03:58.260205,P000089,IKEA Miss Kitchen,Home & Living,Kitchen,Gen X,Display Ads,4,391.5,1565.98,1566.0
2024-10-02 12:03:58.260205,P000078,Crate & Barrel Goal Kitchen,Home & Living,Kitchen,Gen X,Display Ads,1,458.46,458.46,458.46
2024-10-02 12:03:58.260205,P000008,IKEA Beautiful Storage,Home & Living,Storage,Gen X,Display Ads,3,231.87,695.62,695.61
2024-10-02 12:03:58.260205,P000057,Sony Career Gaming,Electronics,Gaming,Gen X,Display Ads,1,114.83,114.83,114.83
2024-10-02 12:03:58.260205,P000012,H&M Hard Kids' Clothing,Apparel,Kids' Clothing,Gen X,Display Ads,5,776.95,3884.73,3884.75
2024-10-02 12:03:58.260205,P000001,Gap Month Footwear,Apparel,Footwear,Gen X,Display Ads,4,541.01,2164.03,2164.04
2024-10-02 12:03:58.260205,P000055,Tommy Hilfiger Alone Women's Clothing,Apparel,Women's Clothing,Gen X,Display Ads,5,163.08,815.41,815.4000000000001
2024-10-02 12:03:58.260205,P000039,L'Oreal Activity Personal Hygiene,Beauty & Personal Care,Personal Hygiene,Gen X,Display Ads,3,945.02,2835.07,2835.06
2024-10-02 12:03:58.260205,P000085,MAC Activity Makeup,Beauty & Personal Care,Makeup,Gen X,Display Ads,5,602.34,3011.7,3011.7000000000003
2024-10-02 12:03:58.260205,P000028,Dove Indicate Skincare,Beauty & Personal Care,Skincare,Gen X,Display Ads,3,127.85,383.55,383.54999999999995
2024-10-02 12:03:58.260205,P000086,Dove When Makeup,Beauty & Personal Care,Makeup,Gen X,Display Ads,3,894.52,2683.55,2683.56
2024-10-02 12:03:58.260205,P000025,Maybelline Relationship Skincare,Beauty & Personal Care,Skincare,Gen X,Display Ads,1,1018.49,1018.49,1018.49
2024-10-02 12:03:58.260205,P000028,Dove Indicate Skincare,Beauty & Personal Care,Skincare,Gen X,Display Ads,2,132.96,265.92,265.92
2024-10-02 12:03:58.260205,P000038,L'Oreal Best Haircare,Beauty & Personal Care,Haircare,Gen X,Display Ads,1,235.94,235.94,235.94
2024-10-02 12:03:58.260205,P000025,Maybelline Relationship Skincare,Beauty & Personal Care,Skincare,Gen X,Display Ads,2,907.01,1814.02,1814.02
2024-10-02 12:03:58.260205,P000025,Maybelline Relationship Skincare,Beauty & Personal Care,Skincare,Gen X,Display Ads,2,981.86,1963.72,1963.72
2024-10-02 12:03:58.260205,P000081,Maybelline Draw Fragrances,Beauty & Personal Care,Fragrances,Gen X,Display Ads,1,828.12,828.12,828.12
2024-10-02 12:03:58.260205,P000019,Nivea Recognize Makeup,Beauty & Personal Care,Makeup,Gen X,Display Ads,3,951.85,2855.56,2855.55
2024-10-02 12:03:58.260205,P000048,Maybelline Hand Haircare,Beauty & Personal Care,Haircare,Gen X,Display Ads,2,284.56,569.13,569.12
2024-10-02 12:03:58.260205,P000007,HomeDepot Lead Storage,Home & Living,Storage,Gen X,Email Marketing,3,19.42,58.26,58.260000000000005
2024-10-02 12:03:58.260205,P000058,Wayfair Whom Bedding,Home & Living,Bedding,Gen X,Email Marketing,2,453.57,907.15,907.14
2024-10-02 12:03:58.260205,P000100,Wayfair Husband Furniture,Home & Living,Furniture,Gen X,Email Marketing,5,777.62,3888.09,3888.1
2024-10-02 12:03:58.260205,P000013,Wayfair Player Furniture,Home & Living,Furniture,Gen X,Email Marketing,3,869.16,2607.49,2607.48
2024-10-02 12:03:58.260205,P000003,IKEA Letter Decor,Home & Living,Decor,Gen X,Email Marketing,3,906.1,2718.3,2718.3
2024-10-02 12:03:58.260205,P000100,Wayfair Husband Furniture,Home & Living,Furniture,Gen X,Email Marketing,1,784.72,784.72,784.72
2024-10-02 12:03:58.260205,P000065,Samsung From Gaming,Electronics,Gaming,Gen X,Email Marketing,5,391.8,1959.0,1959.0
2024-10-02 12:03:58.260205,P000024,Apple Those Home Appliances,Electronics,Home Appliances,Gen X,Email Marketing,2,32.75,65.51,65.5
2024-10-02 12:03:58.260205,P000089,IKEA Miss Kitchen,Home & Living,Kitchen,Gen X,Affiliate Marketing,5,370.07,1850.35,1850.35
2024-10-02 12:03:58.260205,P000009,Nestle Across Health Foods,Food & Beverages,Health Foods,Baby Boomers,Social Media,3,502.18,1506.54,1506.54
2024-10-02 12:03:58.260205,P000037,LG Ahead Gaming,Electronics,Gaming,Baby Boomers,Social Media,1,856.82,856.82,856.82
2024-10-02 12:03:58.260205,P000074,Nivea Win Haircare,Beauty & Personal Care,Haircare,Baby Boomers,Social Media,5,1000.68,5003.41,5003.4
2024-10-02 12:03:58.260205,P000034,Maybelline Media Fragrances,Beauty & Personal Care,Fragrances,Baby Boomers,Social Media,1,919.19,919.19,919.19
2024-10-02 12:03:58.260205,P000039,L'Oreal Activity Personal Hygiene,Beauty & Personal Care,Personal Hygiene,Baby Boomers,Social Media,5,931.3,4656.5,4656.5
2024-10-02 12:03:58.260205,P000080,Kellogg's Partner Confectionery,Food & Beverages,Confectionery,Baby Boomers,Paid Search,5,430.99,2154.93,2154.95
2024-10-02 12:03:58.260205,P000066,Coca-Cola Exist Health Foods,Food & Beverages,Health Foods,Baby Boomers,Paid Search,4,382.61,1530.44,1530.44
2024-10-02 12:03:58.260205,P000064,Kellogg's Particularly Health Foods,Food & Beverages,Health Foods,Baby Boomers,Paid Search,5,142.07,710.36,710.3499999999999
2024-10-02 12:03:58.260205,P000092,Nestle Eight Confectionery,Food & Beverages,Confectionery,Baby Boomers,Paid Search,5,174.04,870.18,870.1999999999999
2024-10-02 12:03:58.260205,P000046,PepsiCo Tax Health Foods,Food & Beverages,Health Foods,Baby Boomers,Paid Search,5,574.06,2870.32,2870.2999999999997
