date,product_id,site_id,quantity_sold,forecasted_quantity,absolute_error,percentage_error,squared_error
2024-10-31,P000006,LOC016,9,9,0,0.0,0
2024-10-31,P000006,LOC017,5,5,0,0.0,0
2024-10-31,P000006,LOC018,6,7,1,16.666666666666664,1
2024-10-31,P000006,LOC019,9,8,1,11.11111111111111,1
2024-10-31,P000006,LOC020,1,1,0,0.0,0
2024-10-31,P000007,LOC001,3,3,0,0.0,0
2024-10-31,P000007,LOC002,12,10,2,16.666666666666664,4
2024-10-31,P000007,LOC003,5,5,0,0.0,0
2024-10-31,P000007,LOC004,10,11,1,10.0,1
2024-10-31,P000007,LOC008,12,11,1,8.333333333333332,1
2024-10-31,P000007,LOC009,4,3,1,25.0,1
2024-10-31,P000007,LOC010,8,6,2,25.0,4
2024-10-31,P000007,LOC011,11,13,2,18.181818181818183,4
2024-10-31,P000007,LOC013,4,4,0,0.0,0
2024-10-31,P000007,LOC015,1,1,0,0.0,0
2024-10-31,P000007,LOC016,16,14,2,12.5,4
2024-10-31,P000007,LOC017,6,6,0,0.0,0
2024-10-31,P000007,LOC018,3,3,0,0.0,0
2024-10-31,P000007,LOC019,5,5,0,0.0,0
2024-10-31,P000007,LOC020,9,8,1,11.11111111111111,1
2024-10-31,P000008,LOC001,4,4,0,0.0,0
2024-10-31,P000008,LOC003,1,1,0,0.0,0
2024-10-31,P000008,LOC004,1,1,0,0.0,0
2024-10-31,P000008,LOC009,9,10,1,11.11111111111111,1
2024-10-31,P000008,LOC010,4,5,1,25.0,1
2024-10-31,P000008,LOC011,5,5,0,0.0,0
2024-10-31,P000008,LOC014,10,12,2,20.0,4
2024-10-31,P000008,LOC015,3,2,1,33.33333333333333,1
2024-10-31,P000008,LOC016,13,11,2,15.384615384615385,4
2024-10-31,P000008,LOC017,11,10,1,9.090909090909092,1
2024-10-31,P000008,LOC018,8,9,1,12.5,1
2024-10-31,P000008,LOC019,5,5,0,0.0,0
2024-10-31,P000008,LOC020,11,11,0,0.0,0
2024-10-31,P000009,LOC001,1,1,0,0.0,0
2024-10-31,P000009,LOC002,6,6,0,0.0,0
2024-10-31,P000009,LOC003,6,7,1,16.666666666666664,1
2024-10-31,P000009,LOC004,5,5,0,0.0,0
2024-10-31,P000009,LOC005,9,10,1,11.11111111111111,1
2024-10-31,P000009,LOC006,4,4,0,0.0,0
2024-10-31,P000009,LOC007,1,1,0,0.0,0
2024-10-31,P000009,LOC008,6,6,0,0.0,0
2024-10-31,P000009,LOC010,7,6,1,14.285714285714285,1
2024-10-31,P000009,LOC011,3,2,1,33.33333333333333,1
2024-10-31,P000009,LOC012,2,2,0,0.0,0
2024-10-31,P000009,LOC013,3,3,0,0.0,0
2024-10-31,P000009,LOC014,5,6,1,20.0,1
2024-10-31,P000009,LOC015,8,8,0,0.0,0
2024-10-31,P000009,LOC016,9,10,1,11.11111111111111,1
2024-10-31,P000009,LOC017,7,7,0,0.0,0
2024-10-31,P000009,LOC019,9,8,1,11.11111111111111,1
2024-10-31,P000009,LOC020,6,6,0,0.0,0
2024-10-31,P000010,LOC001,7,6,1,14.285714285714285,1
2024-10-31,P000010,LOC003,2,2,0,0.0,0
2024-10-31,P000010,LOC004,8,8,0,0.0,0
2024-10-31,P000010,LOC005,3,3,0,0.0,0
2024-10-31,P000010,LOC006,5,5,0,0.0,0
2024-10-31,P000010,LOC007,2,2,0,0.0,0
2024-10-31,P000010,LOC008,14,16,2,14.285714285714285,4
2024-10-31,P000010,LOC009,5,6,1,20.0,1
2024-10-31,P000010,LOC010,4,4,0,0.0,0
2024-10-31,P000010,LOC011,9,9,0,0.0,0
2024-10-31,P000010,LOC012,6,6,0,0.0,0
2024-10-31,P000010,LOC013,5,5,0,0.0,0
2024-10-31,P000010,LOC015,1,1,0,0.0,0
2024-10-31,P000010,LOC016,7,7,0,0.0,0
2024-10-31,P000010,LOC017,4,4,0,0.0,0
2024-10-31,P000010,LOC018,4,4,0,0.0,0
2024-10-31,P000010,LOC020,2,2,0,0.0,0
2024-10-31,P000011,LOC002,3,3,0,0.0,0
2024-10-31,P000011,LOC003,2,2,0,0.0,0
2024-10-31,P000011,LOC004,10,12,2,20.0,4
2024-10-31,P000011,LOC005,7,8,1,14.285714285714285,1
2024-10-31,P000011,LOC006,1,1,0,0.0,0
2024-10-31,P000011,LOC007,11,12,1,9.090909090909092,1
2024-10-31,P000011,LOC008,5,5,0,0.0,0
2024-10-31,P000011,LOC009,3,3,0,0.0,0
2024-10-31,P000011,LOC011,5,6,1,20.0,1
2024-10-31,P000011,LOC012,9,10,1,11.11111111111111,1
2024-10-31,P000011,LOC013,8,9,1,12.5,1
2024-10-31,P000011,LOC014,17,15,2,11.76470588235294,4
2024-10-31,P000011,LOC015,4,4,0,0.0,0
2024-10-31,P000011,LOC016,5,5,0,0.0,0
2024-10-31,P000011,LOC017,3,3,0,0.0,0
2024-10-31,P000011,LOC018,10,9,1,10.0,1
2024-10-31,P000011,LOC020,7,7,0,0.0,0
2024-10-31,P000012,LOC001,9,8,1,11.11111111111111,1
2024-10-31,P000012,LOC002,4,3,1,25.0,1
2024-10-31,P000012,LOC003,2,2,0,0.0,0
2024-10-31,P000012,LOC004,1,1,0,0.0,0
2024-10-31,P000012,LOC005,10,9,1,10.0,1
2024-10-31,P000012,LOC006,5,6,1,20.0,1
2024-10-31,P000012,LOC007,5,5,0,0.0,0
2024-10-31,P000012,LOC008,7,6,1,14.285714285714285,1
2024-10-31,P000012,LOC009,9,8,1,11.11111111111111,1
2024-10-31,P000012,LOC010,6,6,0,0.0,0
2024-10-31,P000012,LOC011,4,4,0,0.0,0
2024-10-31,P000012,LOC013,3,3,0,0.0,0
2024-10-31,P000012,LOC014,9,7,2,22.22222222222222,4
2024-10-31,P000012,LOC015,2,2,0,0.0,0
2024-10-31,P000012,LOC016,13,15,2,15.384615384615385,4
2024-10-31,P000012,LOC017,5,4,1,20.0,1
2024-10-31,P000012,LOC018,7,8,1,14.285714285714285,1
2024-10-31,P000012,LOC019,10,11,1,10.0,1
2024-10-31,P000012,LOC020,3,3,0,0.0,0
2024-10-31,P000013,LOC001,11,12,1,9.090909090909092,1
2024-10-31,P000013,LOC002,10,9,1,10.0,1
2024-10-31,P000013,LOC003,2,2,0,0.0,0
2024-10-31,P000013,LOC004,4,4,0,0.0,0
2024-10-31,P000013,LOC005,5,6,1,20.0,1
2024-10-31,P000013,LOC008,9,10,1,11.11111111111111,1
2024-10-31,P000013,LOC009,6,6,0,0.0,0
2024-10-31,P000013,LOC010,10,10,0,0.0,0
2024-10-31,P000013,LOC011,3,2,1,33.33333333333333,1
2024-10-31,P000013,LOC012,4,4,0,0.0,0
2024-10-31,P000013,LOC013,5,5,0,0.0,0
2024-10-31,P000013,LOC014,5,6,1,20.0,1
2024-10-31,P000013,LOC015,12,14,2,16.666666666666664,4
2024-10-31,P000013,LOC016,13,14,1,7.6923076923076925,1
2024-10-31,P000013,LOC017,12,12,0,0.0,0
2024-10-31,P000013,LOC018,6,6,0,0.0,0
2024-10-31,P000013,LOC019,12,13,1,8.333333333333332,1
2024-10-31,P000014,LOC001,8,7,1,12.5,1
2024-10-31,P000014,LOC002,7,8,1,14.285714285714285,1
2024-10-31,P000014,LOC004,3,3,0,0.0,0
2024-10-31,P000014,LOC006,3,3,0,0.0,0
2024-10-31,P000014,LOC007,2,2,0,0.0,0
2024-10-31,P000014,LOC008,7,6,1,14.285714285714285,1
2024-10-31,P000014,LOC010,4,4,0,0.0,0
2024-10-31,P000014,LOC011,10,11,1,10.0,1
2024-10-31,P000014,LOC012,7,8,1,14.285714285714285,1
2024-10-31,P000014,LOC013,5,5,0,0.0,0
2024-10-31,P000014,LOC014,9,10,1,11.11111111111111,1
2024-10-31,P000014,LOC016,11,10,1,9.090909090909092,1
2024-10-31,P000014,LOC018,13,12,1,7.6923076923076925,1
2024-10-31,P000014,LOC019,4,4,0,0.0,0
2024-10-31,P000014,LOC020,1,1,0,0.0,0
2024-10-31,P000015,LOC001,5,4,1,20.0,1
2024-10-31,P000015,LOC002,2,2,0,0.0,0
2024-10-31,P000015,LOC003,4,4,0,0.0,0
2024-10-31,P000015,LOC004,3,3,0,0.0,0
2024-10-31,P000015,LOC005,7,7,0,0.0,0
2024-10-31,P000015,LOC006,1,1,0,0.0,0
2024-10-31,P000015,LOC008,5,6,1,20.0,1
2024-10-31,P000015,LOC010,5,5,0,0.0,0
2024-10-31,P000015,LOC011,3,3,0,0.0,0
2024-10-31,P000015,LOC012,1,1,0,0.0,0
2024-10-31,P000015,LOC013,1,1,0,0.0,0
2024-10-31,P000015,LOC014,6,6,0,0.0,0
2024-10-31,P000015,LOC015,3,4,1,33.33333333333333,1
2024-10-31,P000015,LOC016,11,13,2,18.181818181818183,4
2024-10-31,P000015,LOC017,3,3,0,0.0,0
2024-10-31,P000015,LOC019,8,9,1,12.5,1
2024-10-31,P000015,LOC020,6,5,1,16.666666666666664,1
2024-10-31,P000016,LOC001,5,6,1,20.0,1
2024-10-31,P000016,LOC002,2,2,0,0.0,0
2024-10-31,P000016,LOC003,4,5,1,25.0,1
2024-10-31,P000016,LOC004,5,5,0,0.0,0
2024-10-31,P000016,LOC005,4,4,0,0.0,0
2024-10-31,P000016,LOC006,8,9,1,12.5,1
2024-10-31,P000016,LOC009,3,3,0,0.0,0
2024-10-31,P000016,LOC010,2,2,0,0.0,0
2024-10-31,P000016,LOC011,2,2,0,0.0,0
2024-10-31,P000016,LOC012,5,5,0,0.0,0
2024-10-31,P000016,LOC013,1,1,0,0.0,0
2024-10-31,P000016,LOC014,5,5,0,0.0,0
2024-10-31,P000016,LOC015,4,3,1,25.0,1
2024-10-31,P000016,LOC017,4,4,0,0.0,0
2024-10-31,P000016,LOC018,8,7,1,12.5,1
2024-10-31,P000016,LOC019,3,4,1,33.33333333333333,1
2024-10-31,P000016,LOC020,2,2,0,0.0,0
2024-10-31,P000017,LOC002,5,6,1,20.0,1
2024-10-31,P000017,LOC003,16,15,1,6.25,1
2024-10-31,P000017,LOC004,10,11,1,10.0,1
2024-10-31,P000017,LOC005,6,5,1,16.666666666666664,1
2024-10-31,P000017,LOC006,4,4,0,0.0,0
2024-10-31,P000017,LOC007,4,4,0,0.0,0
2024-10-31,P000017,LOC008,10,9,1,10.0,1
2024-10-31,P000017,LOC009,1,1,0,0.0,0
2024-10-31,P000017,LOC010,5,6,1,20.0,1
2024-10-31,P000017,LOC011,7,6,1,14.285714285714285,1
2024-10-31,P000017,LOC013,1,1,0,0.0,0
2024-10-31,P000017,LOC014,9,10,1,11.11111111111111,1
2024-10-31,P000017,LOC015,2,2,0,0.0,0
2024-10-31,P000017,LOC016,5,5,0,0.0,0
2024-10-31,P000017,LOC017,7,8,1,14.285714285714285,1
2024-10-31,P000017,LOC018,4,4,0,0.0,0
2024-10-31,P000017,LOC019,5,4,1,20.0,1
2024-10-31,P000017,LOC020,4,4,0,0.0,0
2024-10-31,P000018,LOC001,2,2,0,0.0,0
2024-10-31,P000018,LOC002,3,3,0,0.0,0
2024-10-31,P000018,LOC003,2,2,0,0.0,0
2024-10-31,P000018,LOC004,3,3,0,0.0,0
2024-10-31,P000018,LOC006,1,1,0,0.0,0
2024-10-31,P000018,LOC007,6,6,0,0.0,0
2024-10-31,P000018,LOC008,1,1,0,0.0,0
2024-10-31,P000018,LOC009,3,2,1,33.33333333333333,1
2024-10-31,P000018,LOC011,7,7,0,0.0,0
2024-10-31,P000018,LOC012,1,1,0,0.0,0
2024-10-31,P000018,LOC013,12,14,2,16.666666666666664,4
2024-10-31,P000018,LOC014,1,1,0,0.0,0
2024-10-31,P000018,LOC015,13,15,2,15.384615384615385,4
2024-10-31,P000018,LOC017,3,3,0,0.0,0
2024-10-31,P000018,LOC018,5,4,1,20.0,1
2024-10-31,P000018,LOC019,5,4,1,20.0,1
2024-10-31,P000019,LOC001,1,1,0,0.0,0
2024-10-31,P000019,LOC004,1,1,0,0.0,0
2024-10-31,P000019,LOC005,8,8,0,0.0,0
2024-10-31,P000019,LOC007,1,1,0,0.0,0
2024-10-31,P000019,LOC008,9,8,1,11.11111111111111,1
2024-10-31,P000019,LOC009,2,2,0,0.0,0
2024-10-31,P000019,LOC011,3,3,0,0.0,0
2024-10-31,P000019,LOC013,1,1,0,0.0,0
2024-10-31,P000019,LOC014,4,3,1,25.0,1
2024-10-31,P000019,LOC015,9,10,1,11.11111111111111,1
2024-10-31,P000019,LOC017,7,8,1,14.285714285714285,1
2024-10-31,P000019,LOC018,7,8,1,14.285714285714285,1
2024-10-31,P000019,LOC020,2,2,0,0.0,0
2024-10-31,P000020,LOC001,7,8,1,14.285714285714285,1
2024-10-31,P000020,LOC002,7,7,0,0.0,0
2024-10-31,P000020,LOC003,2,2,0,0.0,0
2024-10-31,P000020,LOC004,17,16,1,5.88235294117647,1
2024-10-31,P000020,LOC005,8,7,1,12.5,1
2024-10-31,P000020,LOC006,4,4,0,0.0,0
2024-10-31,P000020,LOC007,3,3,0,0.0,0
2024-10-31,P000020,LOC008,6,6,0,0.0,0
2024-10-31,P000020,LOC010,7,7,0,0.0,0
2024-10-31,P000020,LOC011,7,8,1,14.285714285714285,1
2024-10-31,P000020,LOC012,4,3,1,25.0,1
2024-10-31,P000020,LOC015,10,9,1,10.0,1
2024-10-31,P000020,LOC016,2,2,0,0.0,0
2024-10-31,P000020,LOC017,8,7,1,12.5,1
2024-10-31,P000020,LOC018,9,7,2,22.22222222222222,4
2024-10-31,P000020,LOC019,5,4,1,20.0,1
2024-10-31,P000020,LOC020,16,13,3,18.75,9
2024-10-31,P000021,LOC001,10,12,2,20.0,4
2024-10-31,P000021,LOC002,8,9,1,12.5,1
2024-10-31,P000021,LOC004,9,8,1,11.11111111111111,1
2024-10-31,P000021,LOC005,6,7,1,16.666666666666664,1
2024-10-31,P000021,LOC006,7,6,1,14.285714285714285,1
2024-10-31,P000021,LOC009,1,1,0,0.0,0
2024-10-31,P000021,LOC010,1,1,0,0.0,0
2024-10-31,P000021,LOC011,2,2,0,0.0,0
2024-10-31,P000021,LOC012,9,11,2,22.22222222222222,4
2024-10-31,P000021,LOC013,7,7,0,0.0,0
2024-10-31,P000021,LOC014,9,9,0,0.0,0
2024-10-31,P000021,LOC015,5,5,0,0.0,0
2024-10-31,P000021,LOC016,4,5,1,25.0,1
2024-10-31,P000021,LOC017,5,6,1,20.0,1
2024-10-31,P000021,LOC018,9,9,0,0.0,0
2024-10-31,P000021,LOC020,3,3,0,0.0,0
2024-10-31,P000022,LOC001,2,2,0,0.0,0
2024-10-31,P000022,LOC002,3,3,0,0.0,0
2024-10-31,P000022,LOC003,5,4,1,20.0,1
2024-10-31,P000022,LOC004,9,9,0,0.0,0
2024-10-31,P000022,LOC005,4,5,1,25.0,1
2024-10-31,P000022,LOC006,2,2,0,0.0,0
2024-10-31,P000022,LOC007,10,11,1,10.0,1
2024-10-31,P000022,LOC008,9,10,1,11.11111111111111,1
2024-10-31,P000022,LOC011,1,1,0,0.0,0
2024-10-31,P000022,LOC012,6,7,1,16.666666666666664,1
2024-10-31,P000022,LOC013,13,15,2,15.384615384615385,4
2024-10-31,P000022,LOC014,8,8,0,0.0,0
2024-10-31,P000022,LOC016,9,8,1,11.11111111111111,1
2024-10-31,P000022,LOC017,4,4,0,0.0,0
2024-10-31,P000022,LOC018,8,9,1,12.5,1
2024-10-31,P000022,LOC019,7,8,1,14.285714285714285,1
2024-10-31,P000022,LOC020,5,6,1,20.0,1
2024-10-31,P000023,LOC001,5,4,1,20.0,1
2024-10-31,P000023,LOC002,2,2,0,0.0,0
2024-10-31,P000023,LOC003,7,8,1,14.285714285714285,1
2024-10-31,P000023,LOC004,6,7,1,16.666666666666664,1
2024-10-31,P000023,LOC005,3,2,1,33.33333333333333,1
2024-10-31,P000023,LOC007,2,2,0,0.0,0
2024-10-31,P000023,LOC008,17,14,3,17.647058823529413,9
2024-10-31,P000023,LOC011,4,3,1,25.0,1
2024-10-31,P000023,LOC012,3,3,0,0.0,0
2024-10-31,P000023,LOC014,11,12,1,9.090909090909092,1
2024-10-31,P000023,LOC016,1,1,0,0.0,0
2024-10-31,P000023,LOC017,2,2,0,0.0,0
2024-10-31,P000023,LOC018,8,8,0,0.0,0
2024-10-31,P000023,LOC019,5,5,0,0.0,0
2024-10-31,P000023,LOC020,5,4,1,20.0,1
2024-10-31,P000024,LOC002,3,3,0,0.0,0
2024-10-31,P000024,LOC003,14,17,3,21.428571428571427,9
2024-10-31,P000024,LOC005,3,3,0,0.0,0
2024-10-31,P000024,LOC006,1,1,0,0.0,0
2024-10-31,P000024,LOC007,4,4,0,0.0,0
2024-10-31,P000024,LOC008,1,1,0,0.0,0
2024-10-31,P000024,LOC009,1,1,0,0.0,0
2024-10-31,P000024,LOC011,8,7,1,12.5,1
2024-10-31,P000024,LOC012,4,4,0,0.0,0
2024-10-31,P000024,LOC013,3,3,0,0.0,0
2024-10-31,P000024,LOC014,1,1,0,0.0,0
2024-10-31,P000024,LOC015,4,4,0,0.0,0
2024-10-31,P000024,LOC016,11,11,0,0.0,0
2024-10-31,P000024,LOC018,10,9,1,10.0,1
2024-10-31,P000024,LOC019,1,1,0,0.0,0
2024-10-31,P000024,LOC020,4,4,0,0.0,0
2024-10-31,P000025,LOC003,5,4,1,20.0,1
2024-10-31,P000025,LOC004,4,4,0,0.0,0
2024-10-31,P000025,LOC005,5,5,0,0.0,0
2024-10-31,P000025,LOC006,6,6,0,0.0,0
2024-10-31,P000025,LOC008,18,16,2,11.11111111111111,4
2024-10-31,P000025,LOC009,3,3,0,0.0,0
2024-10-31,P000025,LOC010,6,6,0,0.0,0
2024-10-31,P000025,LOC011,11,11,0,0.0,0
2024-10-31,P000025,LOC012,2,2,0,0.0,0
2024-10-31,P000025,LOC013,3,3,0,0.0,0
2024-10-31,P000025,LOC014,6,5,1,16.666666666666664,1
2024-10-31,P000025,LOC015,12,12,0,0.0,0
2024-10-31,P000025,LOC016,12,11,1,8.333333333333332,1
2024-10-31,P000025,LOC017,5,6,1,20.0,1
2024-10-31,P000025,LOC018,4,5,1,25.0,1
2024-10-31,P000025,LOC019,8,7,1,12.5,1
2024-10-31,P000025,LOC020,2,2,0,0.0,0
2024-10-31,P000026,LOC002,1,1,0,0.0,0
2024-10-31,P000026,LOC003,5,4,1,20.0,1
2024-10-31,P000026,LOC004,1,1,0,0.0,0
2024-10-31,P000026,LOC005,10,9,1,10.0,1
2024-10-31,P000026,LOC006,5,5,0,0.0,0
2024-10-31,P000026,LOC008,13,11,2,15.384615384615385,4
2024-10-31,P000026,LOC010,4,4,0,0.0,0
2024-10-31,P000026,LOC012,1,1,0,0.0,0
2024-10-31,P000026,LOC013,1,1,0,0.0,0
2024-10-31,P000026,LOC014,3,3,0,0.0,0
2024-10-31,P000026,LOC015,1,1,0,0.0,0
2024-10-31,P000026,LOC016,12,12,0,0.0,0
2024-10-31,P000026,LOC017,1,1,0,0.0,0
2024-10-31,P000026,LOC018,10,8,2,20.0,4
2024-10-31,P000026,LOC019,3,3,0,0.0,0
2024-10-31,P000027,LOC001,6,7,1,16.666666666666664,1
2024-10-31,P000027,LOC002,13,15,2,15.384615384615385,4
2024-10-31,P000027,LOC004,10,10,0,0.0,0
2024-10-31,P000027,LOC005,1,1,0,0.0,0
2024-10-31,P000027,LOC006,3,3,0,0.0,0
2024-10-31,P000027,LOC008,13,12,1,7.6923076923076925,1
2024-10-31,P000027,LOC009,6,7,1,16.666666666666664,1
2024-10-31,P000027,LOC010,4,4,0,0.0,0
2024-10-31,P000027,LOC011,2,2,0,0.0,0
2024-10-31,P000027,LOC012,2,2,0,0.0,0
2024-10-31,P000027,LOC013,4,4,0,0.0,0
2024-10-31,P000027,LOC015,7,7,0,0.0,0
2024-10-31,P000027,LOC016,4,3,1,25.0,1
2024-10-31,P000027,LOC017,5,6,1,20.0,1
2024-10-31,P000027,LOC018,1,1,0,0.0,0
2024-10-31,P000027,LOC019,7,6,1,14.285714285714285,1
2024-10-31,P000027,LOC020,1,1,0,0.0,0
2024-10-31,P000028,LOC002,13,14,1,7.6923076923076925,1
2024-10-31,P000028,LOC003,17,15,2,11.76470588235294,4
2024-10-31,P000028,LOC004,3,4,1,33.33333333333333,1
2024-10-31,P000028,LOC005,4,5,1,25.0,1
2024-10-31,P000028,LOC006,1,1,0,0.0,0
2024-10-31,P000028,LOC008,15,16,1,6.666666666666667,1
2024-10-31,P000028,LOC009,9,8,1,11.11111111111111,1
2024-10-31,P000028,LOC010,2,2,0,0.0,0
2024-10-31,P000028,LOC012,3,3,0,0.0,0
2024-10-31,P000028,LOC013,5,4,1,20.0,1
2024-10-31,P000028,LOC014,5,6,1,20.0,1
2024-10-31,P000028,LOC015,6,7,1,16.666666666666664,1
2024-10-31,P000028,LOC016,17,17,0,0.0,0
2024-10-31,P000028,LOC017,5,6,1,20.0,1
2024-10-31,P000028,LOC018,6,6,0,0.0,0
2024-10-31,P000028,LOC019,4,4,0,0.0,0
2024-10-31,P000029,LOC003,8,8,0,0.0,0
2024-10-31,P000029,LOC005,1,1,0,0.0,0
2024-10-31,P000029,LOC007,4,4,0,0.0,0
2024-10-31,P000029,LOC008,1,1,0,0.0,0
2024-10-31,P000029,LOC009,11,10,1,9.090909090909092,1
2024-10-31,P000029,LOC010,2,2,0,0.0,0
2024-10-31,P000029,LOC011,9,11,2,22.22222222222222,4
2024-10-31,P000029,LOC013,4,4,0,0.0,0
2024-10-31,P000029,LOC015,11,10,1,9.090909090909092,1
2024-10-31,P000029,LOC016,19,19,0,0.0,0
2024-10-31,P000029,LOC017,6,5,1,16.666666666666664,1
2024-10-31,P000029,LOC018,5,5,0,0.0,0
2024-10-31,P000029,LOC019,6,5,1,16.666666666666664,1
2024-10-31,P000030,LOC001,4,4,0,0.0,0
2024-10-31,P000030,LOC002,4,5,1,25.0,1
2024-10-31,P000030,LOC003,5,5,0,0.0,0
2024-10-31,P000030,LOC004,8,7,1,12.5,1
2024-10-31,P000030,LOC005,12,11,1,8.333333333333332,1
2024-10-31,P000030,LOC006,4,4,0,0.0,0
2024-10-31,P000030,LOC008,15,16,1,6.666666666666667,1
2024-10-31,P000030,LOC009,4,4,0,0.0,0
2024-10-31,P000030,LOC011,4,4,0,0.0,0
2024-10-31,P000030,LOC012,3,3,0,0.0,0
2024-10-31,P000030,LOC013,7,7,0,0.0,0
2024-10-31,P000030,LOC014,3,3,0,0.0,0
2024-10-31,P000030,LOC015,7,8,1,14.285714285714285,1
