forecast_date,product_id,site_id,top_category,sub_category,brand,point_forecast,lower_bound,upper_bound,confidence_level,is_promotional,forecast_generated_date,unit_cost,unit_price,expected_revenue,expected_cost,expected_profit
2025-04-20,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-21,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-22,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-23,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-24,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-25,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-26,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-27,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-28,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-29,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-01,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-02,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-03,P000003,LOC015,Home & Living,Decor,IKEA,3,2,3,0.8,True,2025-04-14,578.19,924.38,2773.14,1734.5700000000002,1038.5699999999997
2025-04-04,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-05,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-06,P000003,LOC015,Home & Living,Decor,IKEA,3,2,3,0.8,True,2025-04-14,578.19,924.38,2773.14,1734.5700000000002,1038.5699999999997
2025-04-07,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-08,P000003,LOC015,Home & Living,Decor,IKEA,3,2,3,0.8,False,2025-04-14,578.19,924.38,2773.14,1734.5700000000002,1038.5699999999997
2025-04-09,P000003,LOC015,Home & Living,Decor,IKEA,3,2,3,0.8,True,2025-04-14,578.19,924.38,2773.14,1734.5700000000002,1038.5699999999997
2025-04-10,P000003,LOC015,Home & Living,Decor,IKEA,3,2,3,0.8,False,2025-04-14,578.19,924.38,2773.14,1734.5700000000002,1038.5699999999997
2025-04-11,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-12,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-13,P000003,LOC015,Home & Living,Decor,IKEA,3,2,3,0.8,False,2025-04-14,578.19,924.38,2773.14,1734.5700000000002,1038.5699999999997
2025-04-14,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-15,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-16,P000003,LOC015,Home & Living,Decor,IKEA,3,2,3,0.8,True,2025-04-14,578.19,924.38,2773.14,1734.5700000000002,1038.5699999999997
2025-04-17,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-18,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-19,P000003,LOC015,Home & Living,Decor,IKEA,3,2,3,0.8,False,2025-04-14,578.19,924.38,2773.14,1734.5700000000002,1038.5699999999997
2025-04-20,P000003,LOC015,Home & Living,Decor,IKEA,3,2,3,0.8,False,2025-04-14,578.19,924.38,2773.14,1734.5700000000002,1038.5699999999997
2025-04-21,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-22,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-23,P000003,LOC015,Home & Living,Decor,IKEA,3,2,3,0.8,False,2025-04-14,578.19,924.38,2773.14,1734.5700000000002,1038.5699999999997
2025-04-24,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-25,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-26,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-27,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-28,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,True,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-29,P000003,LOC015,Home & Living,Decor,IKEA,2,1,2,0.8,False,2025-04-14,578.19,924.38,1848.76,1156.38,692.3799999999999
2025-04-01,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-02,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-03,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,1,0,1,0.8,False,2025-04-14,180.43,339.56,339.56,180.43,159.13
2025-04-04,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-05,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-06,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,1,0,1,0.8,False,2025-04-14,180.43,339.56,339.56,180.43,159.13
2025-04-07,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-08,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-09,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-10,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-11,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,True,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-12,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-13,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,1,0,1,0.8,False,2025-04-14,180.43,339.56,339.56,180.43,159.13
2025-04-14,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-15,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-16,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-17,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-18,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-19,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-20,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-21,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-22,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-23,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-24,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-25,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-26,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,True,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-27,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,True,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-28,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,False,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-29,P000006,LOC013,Beauty & Personal Care,Makeup,MAC,2,1,2,0.8,True,2025-04-14,180.43,339.56,679.12,360.86,318.26
2025-04-01,P000009,LOC005,Food & Beverages,Health Foods,Nestle,4,3,4,0.8,False,2025-04-14,305.59,462.25,1849.0,1222.36,626.6400000000001
2025-04-02,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-03,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-04,P000009,LOC005,Food & Beverages,Health Foods,Nestle,4,3,4,0.8,False,2025-04-14,305.59,462.25,1849.0,1222.36,626.6400000000001
2025-04-05,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-06,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-07,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-08,P000009,LOC005,Food & Beverages,Health Foods,Nestle,4,3,4,0.8,False,2025-04-14,305.59,462.25,1849.0,1222.36,626.6400000000001
2025-04-09,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-10,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-11,P000009,LOC005,Food & Beverages,Health Foods,Nestle,4,3,4,0.8,False,2025-04-14,305.59,462.25,1849.0,1222.36,626.6400000000001
2025-04-12,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-13,P000009,LOC005,Food & Beverages,Health Foods,Nestle,4,3,4,0.8,False,2025-04-14,305.59,462.25,1849.0,1222.36,626.6400000000001
2025-04-14,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-15,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-16,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-17,P000009,LOC005,Food & Beverages,Health Foods,Nestle,4,3,4,0.8,False,2025-04-14,305.59,462.25,1849.0,1222.36,626.6400000000001
2025-04-18,P000009,LOC005,Food & Beverages,Health Foods,Nestle,4,3,4,0.8,False,2025-04-14,305.59,462.25,1849.0,1222.36,626.6400000000001
2025-04-19,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-20,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-21,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-22,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-23,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-24,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-25,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-26,P000009,LOC005,Food & Beverages,Health Foods,Nestle,4,3,4,0.8,False,2025-04-14,305.59,462.25,1849.0,1222.36,626.6400000000001
2025-04-27,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-28,P000009,LOC005,Food & Beverages,Health Foods,Nestle,4,3,4,0.8,False,2025-04-14,305.59,462.25,1849.0,1222.36,626.6400000000001
2025-04-29,P000009,LOC005,Food & Beverages,Health Foods,Nestle,3,2,3,0.8,False,2025-04-14,305.59,462.25,1386.75,916.77,469.98
2025-04-01,P000010,LOC008,Electronics,Gaming,HP,4,3,4,0.8,False,2025-04-14,128.51,183.93,735.72,514.04,221.68000000000006
2025-04-02,P000010,LOC008,Electronics,Gaming,HP,4,3,4,0.8,False,2025-04-14,128.51,183.93,735.72,514.04,221.68000000000006
2025-04-03,P000010,LOC008,Electronics,Gaming,HP,6,4,7,0.8,True,2025-04-14,128.51,183.93,1103.58,771.06,332.52
2025-04-04,P000010,LOC008,Electronics,Gaming,HP,3,2,3,0.8,False,2025-04-14,128.51,183.93,551.79,385.53,166.26
2025-04-05,P000010,LOC008,Electronics,Gaming,HP,3,2,3,0.8,False,2025-04-14,128.51,183.93,551.79,385.53,166.26
2025-04-06,P000010,LOC008,Electronics,Gaming,HP,6,4,7,0.8,True,2025-04-14,128.51,183.93,1103.58,771.06,332.52
2025-04-07,P000010,LOC008,Electronics,Gaming,HP,5,4,6,0.8,True,2025-04-14,128.51,183.93,919.6500000000001,642.55,277.10000000000014
2025-04-08,P000010,LOC008,Electronics,Gaming,HP,3,2,3,0.8,False,2025-04-14,128.51,183.93,551.79,385.53,166.26
2025-04-09,P000010,LOC008,Electronics,Gaming,HP,4,3,4,0.8,False,2025-04-14,128.51,183.93,735.72,514.04,221.68000000000006
2025-04-10,P000010,LOC008,Electronics,Gaming,HP,4,3,4,0.8,False,2025-04-14,128.51,183.93,735.72,514.04,221.68000000000006
2025-04-11,P000010,LOC008,Electronics,Gaming,HP,4,3,4,0.8,False,2025-04-14,128.51,183.93,735.72,514.04,221.68000000000006
2025-04-12,P000010,LOC008,Electronics,Gaming,HP,3,2,3,0.8,False,2025-04-14,128.51,183.93,551.79,385.53,166.26
2025-04-13,P000010,LOC008,Electronics,Gaming,HP,4,3,4,0.8,False,2025-04-14,128.51,183.93,735.72,514.04,221.68000000000006
2025-04-14,P000010,LOC008,Electronics,Gaming,HP,4,3,4,0.8,False,2025-04-14,128.51,183.93,735.72,514.04,221.68000000000006
2025-04-15,P000010,LOC008,Electronics,Gaming,HP,4,3,4,0.8,False,2025-04-14,128.51,183.93,735.72,514.04,221.68000000000006
2025-04-16,P000010,LOC008,Electronics,Gaming,HP,4,3,4,0.8,False,2025-04-14,128.51,183.93,735.72,514.04,221.68000000000006
2025-04-17,P000010,LOC008,Electronics,Gaming,HP,3,2,3,0.8,False,2025-04-14,128.51,183.93,551.79,385.53,166.26
2025-04-18,P000010,LOC008,Electronics,Gaming,HP,3,2,3,0.8,False,2025-04-14,128.51,183.93,551.79,385.53,166.26
2025-04-19,P000010,LOC008,Electronics,Gaming,HP,3,2,3,0.8,False,2025-04-14,128.51,183.93,551.79,385.53,166.26
2025-04-20,P000010,LOC008,Electronics,Gaming,HP,4,3,4,0.8,False,2025-04-14,128.51,183.93,735.72,514.04,221.68000000000006
2025-04-21,P000010,LOC008,Electronics,Gaming,HP,3,2,3,0.8,False,2025-04-14,128.51,183.93,551.79,385.53,166.26
2025-04-22,P000010,LOC008,Electronics,Gaming,HP,3,2,3,0.8,False,2025-04-14,128.51,183.93,551.79,385.53,166.26
2025-04-23,P000010,LOC008,Electronics,Gaming,HP,5,4,6,0.8,True,2025-04-14,128.51,183.93,919.6500000000001,642.55,277.10000000000014
2025-04-24,P000010,LOC008,Electronics,Gaming,HP,4,3,4,0.8,False,2025-04-14,128.51,183.93,735.72,514.04,221.68000000000006
2025-04-25,P000010,LOC008,Electronics,Gaming,HP,3,2,3,0.8,False,2025-04-14,128.51,183.93,551.79,385.53,166.26
2025-04-26,P000010,LOC008,Electronics,Gaming,HP,3,2,3,0.8,False,2025-04-14,128.51,183.93,551.79,385.53,166.26
2025-04-27,P000010,LOC008,Electronics,Gaming,HP,4,3,4,0.8,False,2025-04-14,128.51,183.93,735.72,514.04,221.68000000000006
2025-04-28,P000010,LOC008,Electronics,Gaming,HP,3,2,3,0.8,False,2025-04-14,128.51,183.93,551.79,385.53,166.26
2025-04-29,P000010,LOC008,Electronics,Gaming,HP,4,3,4,0.8,False,2025-04-14,128.51,183.93,735.72,514.04,221.68000000000006
2025-04-01,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,True,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-02,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-03,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-04,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-05,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,True,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-06,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-07,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-08,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-09,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-10,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,True,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-11,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-12,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-13,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-14,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-15,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-16,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-17,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-18,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-19,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-20,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-21,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,True,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-22,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-23,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-24,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-25,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,True,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-26,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-27,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-28,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-29,P000012,LOC008,Apparel,Kids' Clothing,H&M,0,0,0,0.8,False,2025-04-14,442.56,770.03,0.0,0.0,0.0
2025-04-01,P000012,LOC009,Apparel,Kids' Clothing,H&M,2,1,2,0.8,False,2025-04-14,442.56,770.03,1540.06,885.12,654.9399999999999
2025-04-02,P000012,LOC009,Apparel,Kids' Clothing,H&M,2,1,2,0.8,False,2025-04-14,442.56,770.03,1540.06,885.12,654.9399999999999
2025-04-03,P000012,LOC009,Apparel,Kids' Clothing,H&M,2,1,2,0.8,False,2025-04-14,442.56,770.03,1540.06,885.12,654.9399999999999
2025-04-04,P000012,LOC009,Apparel,Kids' Clothing,H&M,2,1,2,0.8,False,2025-04-14,442.56,770.03,1540.06,885.12,654.9399999999999
2025-04-05,P000012,LOC009,Apparel,Kids' Clothing,H&M,2,1,2,0.8,False,2025-04-14,442.56,770.03,1540.06,885.12,654.9399999999999
2025-04-06,P000012,LOC009,Apparel,Kids' Clothing,H&M,2,1,2,0.8,False,2025-04-14,442.56,770.03,1540.06,885.12,654.9399999999999
2025-04-07,P000012,LOC009,Apparel,Kids' Clothing,H&M,2,1,2,0.8,False,2025-04-14,442.56,770.03,1540.06,885.12,654.9399999999999
2025-04-08,P000012,LOC009,Apparel,Kids' Clothing,H&M,2,1,2,0.8,False,2025-04-14,442.56,770.03,1540.06,885.12,654.9399999999999
2025-04-09,P000012,LOC009,Apparel,Kids' Clothing,H&M,2,1,2,0.8,False,2025-04-14,442.56,770.03,1540.06,885.12,654.9399999999999
2025-04-10,P000012,LOC009,Apparel,Kids' Clothing,H&M,2,1,2,0.8,False,2025-04-14,442.56,770.03,1540.06,885.12,654.9399999999999
2025-04-11,P000012,LOC009,Apparel,Kids' Clothing,H&M,2,1,2,0.8,False,2025-04-14,442.56,770.03,1540.06,885.12,654.9399999999999
2025-04-12,P000012,LOC009,Apparel,Kids' Clothing,H&M,2,1,2,0.8,False,2025-04-14,442.56,770.03,1540.06,885.12,654.9399999999999
